balance_id|date_id|account_id|currency_id|opening_balance|closing_balance|average_balance
68549|566|26|1|682767.56|476014.25|858105.99
73631|161|23|1|274860.8|446231.02|274454.26
42166|1270|52|2|482255.37|529328.58|325989.97
82177|786|65|3|209487.54|14998.37|130553.245
54252|245|1|2|844193.12|883503.68|414406.565
12430|423|23|3|221659.91|240627.96|655606.255
13965|857|25|3|313153.43|887976.87|390014.77
62991|906|86|1|817559.93|219637.25|427333.095
48901|448|53|3|256976.22|299048.11|726081.3
79877|1023|30|3|840607.26|752259.95|425888.7
46509|796|49|3|101981.45|77945.04|758664.6
87572|1621|11|3|801695.92|422711.01|547848.685
66101|893|83|3|434640.29|258077.11|311869.92
29260|43|93|2|930194.02|221975.91|577998.61
21855|1788|45|2|958123.67|483592.85|452007.285
79895|31|66|3|63688.95|302232.25|138568.585
81272|1503|22|1|899052.46|660874.5|246195.245
83477|1056|19|1|563728.46|798335.01|572416.12
8083|845|96|2|838515.79|934639.23|551300.2
12933|901|22|3|236068.25|903912.13|366415.205
80977|1201|28|3|46207.61|232479.14|634186.66
45381|540|75|1|349081.2|141571.56|367478.17
41399|1231|17|1|657087.85|102699.54|189078.47
73630|497|54|3|546194.8|637704.26|142296.475
50715|1716|30|3|936655.96|108904.78|401460.15
4468|1652|10|2|535837.95|404449.31|471451.425
82911|1784|40|2|109400.49|124554.43|388647.69
16957|783|80|3|786691.72|476051.61|455780.83
98245|1584|91|3|314681.18|105513.31|882349.125
26174|113|78|3|958453.14|421316.33|689473.33
13666|1242|53|3|365477.17|847844.93|277372.055
6742|56|32|1|842819.15|762657.93|855864.395
31840|1245|62|1|622503.28|598551.09|233450.69
1999|612|83|3|299720.54|740281.95|561519.23
62392|367|47|3|638046.05|51490.5|737911.975
45345|874|37|1|882500.77|573012.77|605084.94
54408|1730|83|3|531380.67|268730.09|373830.29
84792|1009|8|1|26226.28|959130.17|575257.75
96826|43|74|2|304774.52|803353.77|701602.74
61328|1452|88|1|543778.93|882865.38|609194.47
855|1131|12|3|913446.35|621912.57|348568.105
85787|806|48|1|605488.01|454869.51|758271.36
62774|837|83|1|622648.01|586328.37|711596.57
41420|760|79|2|886053.07|764216.61|650557.085
27125|1217|98|3|924378.95|411728.74|260540.405
74413|617|14|2|256109.08|11123.8|583942.965
75904|710|86|2|911113.12|929674.52|553443.69
33140|175|40|1|234740.75|959599.77|256173.41
65633|952|2|3|753414.43|440345.83|547083.865
22487|529|13|3|646529.39|531167.27|355257.055
86871|1226|25|1|811075.4|408105.75|618533.29
8117|517|23|1|9138.88|702982.94|230968.27
45992|1286|7|1|428842.86|17542.77|690670.395
33276|1692|46|3|493850.62|993229.58|604993.91
66458|1454|7|2|120368.69|873197.46|504966.945
39873|1817|89|3|619356.54|687697.18|565125.71
74053|881|58|3|263878.35|947339.72|770865.825
44344|268|20|3|956445.49|963330.27|393248.42
52572|811|23|1|178608.18|527204.94|702679.435
88556|523|79|1|263587.38|264774.61|275772.43
60083|1086|33|2|480180.84|37871.15|511148.585
10409|1470|51|2|286101.68|520777.46|899952.74
3982|851|63|1|910895.49|874243.6|569957.83
33071|993|80|2|610475.32|300389.9|486847.72
88534|645|45|3|384888.06|410656.52|308092.29
60723|1414|75|2|262481.93|881778.1|382197.45
94339|271|43|2|127610.86|651520.44|653380.415
31658|362|95|1|75727.23|235467.08|399103.29
73889|974|7|3|16158.49|913996.41|342951.67
18894|729|8|3|623119.28|963931.46|585147.23
17323|1246|23|1|495798.89|317583.98|570334.555
76381|1618|66|2|68310.41|670554.15|947149.57
61644|830|68|1|941264.83|180557.77|517022.16
90474|1713|30|1|814644.21|191619.09|114582.07
62899|315|24|3|266017.36|787002.35|862105.205
81837|196|38|1|537370.15|869987.14|265129.8
19312|166|50|2|979523.46|697630.29|527372.14
62690|487|65|2|647100.09|505449.74|505801.515
93720|112|1|2|809523.27|740484.73|407268.55
99573|313|19|1|752883.82|758806.96|724386.125
35908|215|18|2|142967.43|250911.46|271427.89
61275|1484|73|1|112502.98|680805.2|553125.5
43257|1005|72|2|714479.91|275476.49|501300.08
75183|1032|68|1|16398.51|295850.27|504835.705
79455|572|94|2|665712.41|237682.8|515705.67
79308|1427|79|3|833051.47|742234.02|683582.09
97394|485|68|2|582691.02|913879.59|469673.765
16685|211|15|3|561318.91|313778.11|516743.695
3822|82|64|3|277150.71|972314.98|244989.54
79703|793|17|1|435956.47|816214.87|799163.25
88448|1376|87|2|614879.89|25605.68|510955.19
58959|1398|70|3|808531.13|636820.02|450005.59
50843|459|75|1|91987.75|740449.32|628377.315
74944|1581|82|3|779344.21|48951.99|612017.355
16871|323|12|3|953039.33|158201.15|871372.61
61204|1095|91|3|820250.93|23700.23|679859.29
10570|953|81|3|907129.85|78761.57|638796.125
60692|1761|80|2|331820.76|996289.23|477089.82
94138|768|46|1|635440.46|794479.01|337098.91
14604|111|42|3|802784.51|47708.09|742889.615
36374|1432|89|1|283404.05|714522.84|528288.785
40236|260|13|3|879587.73|602900.55|170080.535
49268|1771|23|3|802135.57|378052.79|392935.555
95868|641|11|3|442989.04|408741.27|424127.79
30152|900|41|2|328991.68|305476.27|774244.71
2587|915|35|3|751500.43|725419.98|398735.95
35587|1779|72|3|624084.38|778168.15|745941.92
27366|15|66|3|530880.9|819005.54|387972.435
24215|588|22|1|415271.93|586046.52|253580.11
68490|1093|25|3|528866.13|550355.85|174061.395
37364|509|31|3|961813.98|403370.88|605362.96
28830|360|64|3|731544.82|486556.78|470488.27
20879|1379|88|3|328509.15|561507.71|445501.86
16115|644|28|1|818346.27|572803.25|573253.605
58139|278|52|2|271208.29|822553.37|781691.595
34110|798|62|3|334331.4|200829.38|571883.875
74610|561|63|1|886273.88|395239.37|811218.11
3371|962|66|3|293677.36|416040.27|671527.19
30672|938|23|1|62609.2|740705.96|462494.635
13550|957|91|2|479469.43|26957.32|252690.29
1543|962|40|1|119597.39|90567.38|371168.485
68918|641|90|3|516819.81|292691.48|894170.87
95237|1337|60|3|887348.17|653165.84|819934.875
39299|642|6|1|356742.67|374826.22|166255.095
85355|716|96|3|857784.5|878281.69|484755.62
13471|96|13|3|50457.12|359250.75|511640.03
41850|1724|48|3|252124.15|633453.13|432051.845
73077|1255|84|3|507256.49|661823.06|540261.115
38376|899|16|3|850560.34|580506.5|498181.34
41975|1265|4|2|777262.46|587078.43|470311.285
40346|1460|62|2|419233.76|562940.8|56819.495
7497|766|51|3|324179.15|964763.36|177871.54
87070|317|49|2|636042.89|486257.13|728711.87
46483|475|59|1|469638.77|880340.14|93211.21
63868|846|94|3|933369.24|608090.4|685699.155
51685|866|15|3|317551.82|600380.09|317030.86
51894|496|33|2|159524.45|886679.04|525932.16
12289|1780|50|1|180002.63|648800.65|371888.175
21902|278|78|3|120916.44|247543.73|707373.83
59325|1742|69|2|994683.75|632212.6|177267.395
23200|1671|43|1|416743.67|236661.68|613898.89
46484|1513|41|2|677263.57|670222.86|700978.045
54839|1294|97|2|549311.43|381474.79|697643.32
31005|1521|16|1|579660.62|406292.95|435547.43
11977|456|4|3|943452.53|165809.61|802582.34
89646|1087|94|2|17310.62|699771.75|159895.14
1898|889|2|3|235431.54|839862.95|767448.805
89613|646|63|1|887242.07|139954.08|871636.805
10573|80|98|3|844650.93|919722.18|705613.305
34939|385|30|2|69370.45|642728.07|535049.11
62110|616|66|3|701081.11|149612.23|427285.22
68820|620|18|2|392283.79|369701.69|373265.87
17338|27|100|2|293404.22|86122.39|696873.88
58308|192|82|2|171125.24|865102.94|523633.215
82255|1608|51|2|826283.68|631864.78|196315.17
2710|954|22|2|478563.86|367737.01|223322.565
54045|533|77|2|792701.32|41453.49|448663.425
72055|432|80|1|810774.83|482553.23|421588.43
56932|99|9|2|601869.81|70959.96|228933.44
89263|1554|60|1|857324.5|381080.29|782035.48
22315|607|8|2|26172.23|342633.77|478053.27
15212|1084|7|1|468250.69|255780.77|157487.27
91785|1463|87|3|91585.51|426740.52|310012.105
70523|557|72|3|949917.08|639466.96|759187.675
89486|1441|40|3|307029.88|915717.66|968882.39
29585|1081|20|2|750440.5|365109.1|637569.935
37349|626|62|2|259852.86|426200.89|559274.09
2669|1597|69|2|404714.92|460387.41|858623.64
59376|31|97|1|172260.85|435704.36|393393.995
47581|1525|11|3|809562.2|832202.17|453334.435
10454|1476|62|1|990185.44|77962.74|493990.16
21970|1275|43|1|578607.18|798071.55|573988.2
49504|878|29|3|322825.82|971762.85|598613.975
80469|937|52|2|621308.3|844126.51|622966.98
57510|1521|54|2|789432.55|273690.55|667579.045
669|105|77|1|179103.88|622765.88|405021.545
40876|985|69|3|713861.74|125065.11|469165.215
88601|256|22|1|446710.35|752314.18|300029.21
21215|463|24|1|988222.16|893877.78|990785.405
37916|1409|73|2|507141.38|449594.68|758829.58
83383|350|2|1|869227.08|29733.71|124215.635
18313|1796|27|3|673532.9|182959.59|557880.72
26076|401|44|3|475843.9|441066.57|325372.09
26259|1536|19|2|403144.86|371553.46|640828.895
41173|749|89|2|223576.97|241568.9|701624.98
58315|990|22|1|162499.03|855018.52|687490.01
36698|5|37|3|936179.14|635581.05|106071.56
90623|316|59|1|754549.0|512246.52|749649.095
77284|82|82|3|247514.78|737872.94|416725.075
27736|363|34|2|372436.44|594443.37|526875.845
60931|1086|48|1|612174.57|523423.16|370703.03
65492|687|57|3|773911.52|3686.63|395564.98
88037|145|11|3|686867.72|680774.7|492319.83
34229|576|30|3|816438.4|407974.81|184047.785
9592|669|93|3|5917.61|135615.24|754715.34
68754|1305|28|2|680977.75|566228.38|508340.35
32602|1711|48|3|674588.49|688737.99|459663.49
41763|432|61|2|22737.86|24378.99|625264.73
50693|1265|55|3|488038.89|892238.29|447553.565
45658|1088|87|1|108269.64|740435.38|312754.13
28345|1807|23|2|618666.69|375885.18|492564.875
7055|241|1|2|699294.53|946679.71|885697.245
25163|541|9|1|202914.28|98239.71|383217.145
24638|1369|75|2|74218.53|724569.84|542337.24
22782|1199|94|2|456542.34|522732.25|343081.245
95013|1666|72|2|114646.71|825389.34|595926.28
48911|571|59|3|359169.26|276060.35|493516.015
60930|626|68|2|286907.42|619337.71|514910.365
55190|1418|74|3|720779.62|35726.65|707739.71
16723|1527|31|2|222856.73|943188.03|686337.03
70481|116|66|3|801696.98|780381.37|541886.795
92802|898|48|3|719453.88|252717.85|329609.78
20224|1211|32|3|220093.21|840201.03|176133.775
6359|1662|90|1|241473.13|971722.83|667728.24
37910|1478|6|1|382053.3|364243.46|141174.01
85047|1282|29|3|925438.39|94916.71|743936.12
96167|873|8|3|229629.97|816712.19|777924.825
75992|256|35|3|927415.88|18309.45|519626.3
8440|473|81|1|318407.04|940714.06|569639.585
81562|1298|10|2|773111.31|978059.17|609635.475
36279|1607|33|1|180635.59|810239.26|813126.94
51197|1432|16|2|883321.63|304722.45|416181.505
72854|665|76|3|757936.77|565095.15|370328.05
72026|327|66|3|544024.67|511897.17|521964.135
58030|846|55|1|44164.85|556392.9|917858.945
23438|1261|61|2|177143.96|978312.95|752169.105
24440|62|95|1|891767.6|691823.22|329560.005
62134|693|74|2|847446.08|893139.31|505558.285
74278|1804|13|3|323100.3|217267.25|356416.24
87576|1764|91|2|575969.32|610830.43|404903.15
60136|1496|14|2|35861.16|694838.08|455487.21
84841|1821|93|2|555046.88|186106.57|544580.965
17409|99|56|1|301170.87|630846.1|611979.32
50333|576|21|1|959952.32|540877.22|292597.665
42870|1320|44|3|17815.88|180144.49|169952.175
3495|510|25|2|24229.85|150287.64|967229.605
82590|843|2|1|659925.56|976398.96|578648.07
11252|1431|53|2|80870.75|633648.95|569346.57
93968|1686|68|1|600208.95|550573.95|755484.065
76066|491|45|1|37683.95|827412.42|280933.905
32809|1052|80|2|711757.11|526591.25|751042.365
39006|1268|26|1|252924.48|751020.28|649846.91
72167|804|69|3|128969.91|303228.12|206826.785
65926|504|71|3|617000.46|427717.13|560860.64
98442|187|60|3|358890.64|598185.46|608740.26
9327|660|80|3|634489.27|781662.54|382064.835
48244|150|10|3|752830.7|194247.67|574346.245
92928|962|12|2|695251.12|839272.51|726198.81
92153|827|75|1|537769.8|812782.12|639986.38
43547|819|18|1|491127.6|614665.64|322116.91
99833|40|79|3|241778.05|385386.22|418881.27
24435|1093|8|1|837519.86|458394.64|579171.005
83746|24|53|2|851552.46|108921.96|347868.45
2614|830|59|1|291775.77|392696.36|623893.04
73229|136|88|3|12939.11|499425.27|774182.495
98731|1659|91|3|958737.0|558507.8|260976.825
47787|1158|94|3|537702.71|269148.78|549331.4
55627|1739|3|2|170568.53|8326.2|727759.905
4154|637|80|2|110214.86|612895.21|297826.815
19853|1715|12|2|930424.17|409084.74|674452.805
9554|1495|46|1|734864.59|310469.71|524271.465
83788|1376|37|1|729670.88|408639.68|521545.655
84653|935|18|3|901784.38|871486.63|373056.055
18473|806|10|1|98121.71|623919.41|640948.425
35727|1565|99|1|615015.77|612563.25|789283.9
64685|1566|77|3|467172.43|408545.04|758149.655
81350|276|2|1|340390.45|366426.37|413958.8
25921|1220|86|3|362773.84|785454.65|359208.965
61783|195|88|2|316903.37|795737.53|120317.07
34855|764|91|1|617565.04|399948.02|513383.995
37752|1696|25|3|382191.79|459516.81|199701.355
2598|821|7|1|491796.11|328452.82|596527.32
90357|986|66|1|394812.52|435039.4|468077.63
61296|1406|48|1|274265.2|517373.2|431547.175
6946|973|66|2|923966.17|54447.4|602299.42
88794|1576|29|3|666044.05|849685.9|548448.825
78335|950|60|2|125012.29|252058.07|953783.645
54175|886|72|1|511573.34|291677.63|450700.865
69497|198|72|1|729872.07|43177.91|141557.26
1778|10|48|3|42527.42|417353.53|821947.68
75720|1758|3|3|74582.95|492936.69|639619.11
17651|1369|84|2|983147.65|332668.23|851589.145
38847|947|57|3|772858.53|120266.53|947708.0
99402|1092|4|2|555366.43|545630.37|257762.575
6785|1049|54|3|82868.75|112805.04|695586.76
56481|995|52|1|308546.28|512587.64|632893.085
62258|1515|86|1|613852.15|43268.18|452405.87
8601|214|57|2|989205.72|589282.46|96914.35
28210|20|24|3|214785.54|212512.49|781044.805
74298|1641|11|3|131190.95|946339.98|530727.605
38159|909|12|2|566725.79|171630.55|616535.275
81647|1769|33|3|649409.65|384847.49|369660.825
26649|1068|58|3|268359.0|636103.95|324397.855
26663|1483|30|2|957830.58|53339.23|720622.135
54401|364|19|3|510176.8|185294.33|537044.28
91010|1737|12|2|454448.77|437280.03|754196.825
87347|589|85|3|541621.51|187541.93|559961.42
5588|653|91|2|684366.1|518110.56|648632.485
63859|1712|11|1|670488.33|595423.36|535693.9
44870|184|59|2|69354.59|801713.55|812762.85
99850|1052|73|2|705386.58|231790.46|442051.12
49317|746|71|3|248894.47|480015.16|320197.695
94780|1477|45|3|247862.78|821062.25|439638.825
68076|975|38|2|615204.66|126410.18|763669.98
78062|704|76|1|99469.2|964506.13|645649.21
9792|1245|22|2|200240.66|497088.91|515104.575
75592|360|24|1|855868.1|468350.84|397041.86
52585|647|33|3|897418.64|493984.79|826489.415
15942|1705|3|2|213791.79|85265.31|621564.78
3168|1382|25|3|576215.57|448989.85|667156.125
69993|323|50|2|245600.67|618432.52|516800.02
98786|209|15|2|657580.89|574530.49|134791.18
96815|982|32|3|361429.32|479066.36|302721.5
14691|377|12|1|695554.82|714731.18|885681.115
59809|1137|95|1|683748.7|3520.7|620273.965
95688|898|25|3|828618.66|533706.35|268823.23
16804|629|2|3|818453.24|82590.96|703581.275
70437|525|82|1|240788.5|173355.34|523724.19
40326|518|20|2|938441.59|858790.68|443557.25
15419|941|26|2|653680.21|761819.75|282535.73
35784|1387|100|2|182099.8|68287.06|672797.055
58881|86|33|2|58634.35|271119.52|523147.34
5351|756|99|2|917492.77|347315.45|394010.61
78980|1553|81|2|984949.15|786301.06|561919.15
50614|358|68|2|453779.9|678074.59|509492.115
5551|926|96|1|737604.16|952113.51|173161.155
16568|974|61|2|976382.88|441944.29|587894.945
2216|285|20|2|906647.57|75467.33|232107.38
53160|1046|56|3|196638.44|992838.42|128131.165
13187|749|41|1|679189.37|74603.24|836013.83
40145|111|46|3|992798.61|453269.42|538542.755
4319|828|17|2|697996.14|436459.12|383584.92
3123|697|46|1|238673.46|542426.51|517136.735
38943|779|41|1|392002.33|457554.83|559720.365
92764|190|35|3|70984.99|196781.24|502333.91
97786|387|19|2|720384.49|768541.18|514691.025
27546|280|52|3|14931.02|203060.01|803281.165
59413|502|70|1|277544.75|714146.13|714782.01
62729|1526|30|2|48726.17|298633.14|655908.145
65357|267|44|1|719315.26|657169.66|590924.53
8766|577|69|1|675158.72|319997.06|370742.655
71764|520|5|2|455842.43|242490.98|671256.97
71463|1205|30|1|462558.0|43308.48|264056.49
85686|1788|63|1|618820.8|328576.59|290563.35
79117|1486|95|2|356355.44|131691.26|271380.2
79684|1258|67|1|721688.73|725984.49|812867.815
77084|68|37|2|629821.13|523829.95|366274.635
1295|1157|35|3|183247.39|861114.48|551891.56
2521|168|28|3|727237.98|9046.97|178629.065
5716|509|68|1|89105.0|532793.16|173081.18
74426|1262|60|1|24883.47|392005.8|396857.815
14857|46|65|3|951350.79|347630.96|88930.835
77618|1393|20|1|963238.15|648465.85|593535.875
61569|101|79|3|946856.94|179878.49|197290.115
86674|1363|79|1|281649.45|98871.21|319635.545
90775|1373|4|3|939746.86|370058.01|785937.89
17376|7|22|2|787491.99|526288.84|644882.3
99437|1242|65|3|524414.1|488839.95|532531.835
81441|247|65|1|405799.49|869049.59|979823.08
45816|1321|40|2|598534.95|334262.99|702051.54
33091|281|53|2|940236.55|341697.85|391511.31
87262|1314|49|1|546004.94|746226.8|640813.855
29370|437|63|2|420445.59|814088.82|358022.19
86485|1454|88|1|245824.45|167605.81|617134.25
37074|1346|42|1|982888.6|648056.4|512282.82
69809|528|20|2|481148.83|774564.86|516025.11
48303|787|28|3|844413.93|599258.07|209107.665
73518|1489|99|2|378043.87|708664.73|273208.995
16866|56|44|1|253782.98|765699.75|654305.98
28256|100|99|1|915643.2|378224.54|405924.795
41318|734|83|1|291468.86|335988.61|872049.635
95547|874|24|2|249426.82|124820.78|918477.585
60169|385|58|3|923075.26|48015.65|561251.1
87996|1503|44|1|852480.78|612956.2|207644.655
15712|112|40|2|225238.01|31412.55|818848.54
29191|939|34|1|860463.75|506438.54|825113.715
85477|763|27|2|781130.76|186504.16|300353.4
35339|1696|93|2|513135.6|451429.02|672175.39
37655|750|96|1|144816.22|58830.72|531137.325
71492|1352|9|1|568593.13|649841.43|458324.1
435|1601|17|3|389985.15|686068.05|484159.115
93515|544|44|2|770055.36|760311.98|649271.53
695|293|37|2|114932.31|842929.46|493167.63
32562|1765|62|1|51371.93|306071.3|208192.92
56054|1419|5|2|615764.61|616166.36|305326.985
66541|220|36|3|787968.42|414646.05|329843.425
52236|1403|86|1|303789.87|227589.93|347430.185
10417|1377|18|2|1543.69|469792.06|522007.16
59259|1709|3|3|655689.73|32676.31|717615.67
45149|1044|1|1|892348.59|839293.57|166579.9
77666|930|21|2|85324.25|898785.41|816664.645
30304|1442|32|2|979030.34|99348.23|337277.77
22055|596|78|3|959666.56|563277.86|368692.66
86122|1482|10|3|506225.03|429353.05|70970.36
26840|215|99|1|667414.02|765288.75|625136.335
46243|1578|87|1|507374.92|184985.57|192581.51
8740|1190|88|1|151377.79|432315.86|112999.215
54642|1762|41|1|300985.01|460439.04|506258.28
71181|1827|40|1|861386.85|143275.39|899564.97
85864|1121|33|3|678090.31|27236.94|502737.15
81323|1319|32|3|892526.09|793131.36|313683.575
19108|1223|76|3|10544.85|946447.88|597375.765
48205|574|87|1|375860.54|172925.7|721479.98
63493|89|91|2|652054.81|839326.22|334616.555
66149|333|45|3|346136.15|950600.36|468044.69
53155|28|83|3|845808.27|587729.31|682737.345
39622|951|37|1|820048.71|718387.0|401313.555
66690|1701|4|1|347670.4|13956.14|689295.905
13721|222|6|1|512954.27|212590.43|573728.47
73472|706|58|1|968862.38|113864.86|429682.7
7286|547|90|3|137997.99|73596.48|813123.075
98057|151|81|2|490232.57|168290.95|536036.79
82075|1738|32|3|981798.08|580566.24|300780.19
69051|699|3|3|805423.06|137038.86|609991.45
83114|964|92|1|640863.25|359794.13|270053.545
63096|1359|49|1|930671.22|832378.63|204390.105
51026|42|79|3|962118.0|944529.06|672344.22
4326|1219|40|3|151585.34|482780.76|489851.475
81999|475|56|3|875800.91|500031.18|725533.815
3959|1514|26|3|609473.61|116887.37|646757.7
6096|1675|56|1|940079.96|888082.61|185582.855
61584|3|62|2|506900.86|60827.44|369848.63
64731|1700|23|1|552311.44|761856.93|506160.9
41164|1646|56|1|253744.75|461562.26|318107.29
55214|1706|53|2|940154.93|663757.62|551768.915
67560|1148|69|3|951122.44|707325.52|677463.87
37740|1703|72|2|557300.8|683751.82|334078.01
8046|1671|40|1|248070.0|785291.45|304189.66
75303|640|87|2|154673.34|527973.1|703837.66
7539|848|93|1|769790.4|881197.99|170447.86
97376|355|32|1|654259.41|245519.56|721409.47
66996|487|33|2|975603.13|230356.82|369119.525
38511|1240|61|1|579975.42|145383.83|735776.475
27692|1054|24|3|707910.54|623563.81|673640.79
56160|1195|71|2|176780.18|116928.02|558380.9
42652|1168|99|2|807678.29|609660.9|167165.52
38385|1623|56|2|524814.1|388851.69|842377.955
86719|1350|44|2|634583.04|523552.82|295050.505
13791|958|18|3|678389.95|321087.62|361429.765
65631|793|59|1|397606.67|768603.71|335524.985
58573|347|28|3|225699.8|236515.74|733067.875
54347|1105|82|3|770651.79|927853.73|597219.195
59660|793|31|3|755707.88|791866.29|418377.075
91609|529|75|3|158785.09|188779.34|475570.5
63083|1347|11|2|999418.54|468965.74|378383.475
74473|1515|6|3|126270.47|355637.94|539892.105
76258|1391|79|3|297522.12|18238.5|393913.66
9243|1354|87|2|568713.59|759438.09|787791.16
24484|1110|15|1|356394.16|439211.42|695787.99
94384|241|54|3|736926.42|608595.4|572777.83
79137|838|35|3|243642.23|272870.67|330577.41
86507|854|26|1|253906.18|62654.3|961190.5
92619|90|81|2|893481.15|292898.64|686929.645
84037|150|37|1|750704.54|235218.32|843390.42
14761|318|81|2|331845.43|241723.06|449541.625
80810|1182|24|3|713208.83|146643.2|332537.23
92359|1673|96|3|433633.64|697588.66|650405.215
68839|536|72|2|95598.46|283003.19|468698.13
41087|1129|75|2|798076.02|44451.64|144060.58
67983|1814|16|3|949255.57|471908.62|290938.955
40260|773|15|1|196015.63|669823.32|398319.16
73114|1050|33|1|392449.99|117450.34|462613.515
7437|744|20|1|631399.06|379005.11|841406.375
79944|1635|72|1|353005.55|208835.95|713055.88
74377|743|5|1|461122.29|78852.07|165520.675
7528|1098|13|2|90221.6|575500.25|566041.875
46832|1610|44|2|989707.86|493084.7|479525.945
51392|147|69|3|533914.43|563124.61|682124.435
40604|283|99|3|686538.65|343036.37|637602.03
78288|368|60|1|174793.95|350563.73|759476.875
67394|576|2|3|594102.36|947978.33|118611.985
34400|1818|17|2|154587.19|881721.06|399074.635
82183|495|99|1|600274.13|934817.24|401216.735
90094|1412|48|2|344101.72|148513.92|716699.94
13075|441|14|2|306259.8|603662.09|740836.91
3001|1214|87|2|513547.69|784381.41|551072.61
42194|802|93|3|949943.72|332624.42|879687.325
96679|985|5|2|892177.56|22211.14|401473.91
36506|1036|59|2|564614.58|452781.83|278359.1
13598|1750|63|3|152190.92|854265.64|146587.92
49772|817|68|3|475274.38|128976.24|320964.805
9908|57|63|2|857386.97|865207.73|850784.22
90320|1331|62|1|544935.38|523737.83|753497.235
57187|555|37|2|45593.29|949120.39|391875.53
