transaction_id|date_id|transaction_type_id|account_id|channel_id|location_id|currency_id|transaction_amount|transaction_status
63956|1437|4|92|5|24|1|7481.03|Failed
44718|1129|4|31|3|46|3|5003.44|Completed
89888|326|2|33|5|30|2|4774.89|Failed
36625|426|1|51|5|12|1|9922.3|Completed
65075|1824|4|35|4|29|1|3620.06|Failed
86342|588|3|91|5|31|3|3434.39|Completed
39023|762|4|83|5|34|2|8144.71|Failed
47626|1626|2|71|3|42|2|5001.92|Failed
13027|1422|2|93|5|4|3|622.03|Pending
96593|1729|2|68|3|12|2|9731.05|Pending
95020|69|4|99|5|32|2|3798.92|Pending
13443|1644|1|21|2|20|3|424.41|Failed
72185|1356|2|46|2|49|3|6642.77|Pending
38162|574|3|29|3|29|1|7715.82|Pending
41453|821|4|60|5|20|1|6321.87|Completed
73471|1598|3|56|5|50|3|3774.46|Completed
86863|190|4|33|5|50|2|4057.38|Pending
59652|1822|4|34|4|16|1|4772.81|Failed
94234|1575|2|77|3|4|2|5905.43|Completed
31709|877|1|34|3|31|2|1916.55|Completed
94056|1298|2|58|4|15|2|5052.7|Completed
92767|146|3|28|4|39|3|9421.76|Pending
49645|1505|4|87|4|12|1|7177.53|Completed
52318|298|1|47|3|9|2|4763.87|Pending
18455|109|2|59|2|28|2|6953.06|Completed
78888|1668|2|59|1|2|2|6382.43|Failed
73783|822|1|42|5|21|3|4326.43|Completed
91404|1039|4|75|5|29|3|5365.0|Pending
20518|299|1|96|4|49|3|5028.83|Completed
17709|266|1|69|3|20|1|8715.35|Completed
58666|589|2|24|3|9|2|3643.05|Pending
17056|142|4|6|3|11|2|4281.65|Pending
53113|942|4|46|2|41|2|434.53|Completed
94741|1354|4|59|4|48|2|2885.03|Failed
72968|258|1|85|4|49|3|8875.23|Pending
18255|520|1|69|5|14|1|9080.92|Completed
76945|671|1|96|5|30|3|1173.4|Failed
65019|316|2|83|1|9|1|847.41|Pending
10814|1170|4|22|2|46|1|4534.4|Completed
21850|559|4|83|1|44|2|5357.5|Pending
77538|420|2|70|2|1|2|4571.86|Completed
24688|1824|4|30|3|17|1|4128.61|Completed
45459|1791|2|28|2|49|2|7872.81|Pending
41666|1573|2|37|3|8|3|8614.44|Pending
13392|743|2|20|3|35|2|6802.34|Failed
95262|816|4|29|1|17|1|5910.72|Failed
59281|163|4|14|4|45|2|7425.92|Pending
87540|1239|4|6|3|3|2|6525.66|Completed
29893|521|4|74|2|48|3|6331.11|Pending
34704|1821|1|1|2|14|2|9556.81|Completed
20904|1357|2|85|4|37|1|9479.31|Completed
66382|156|4|56|5|29|2|4326.73|Completed
50874|292|3|42|5|5|1|8442.15|Failed
91248|251|2|70|4|45|2|427.54|Pending
76270|456|4|72|4|37|3|3814.77|Pending
79439|487|2|85|5|6|1|2601.05|Pending
9911|696|1|40|5|50|3|1210.23|Failed
960|993|1|75|3|32|3|1252.77|Failed
61369|321|3|85|4|16|3|5300.39|Completed
87352|1455|3|62|3|48|3|7726.19|Completed
26036|1685|2|13|4|11|3|4647.01|Completed
97987|1333|1|95|3|10|1|5565.45|Pending
74518|1110|4|40|1|33|2|7017.47|Failed
76494|372|4|29|4|4|3|5049.68|Failed
61704|1441|3|86|3|13|3|4929.29|Failed
53787|120|1|32|5|17|2|7353.45|Failed
55389|100|1|38|1|28|1|3187.61|Failed
36497|545|2|29|5|19|3|3158.43|Pending
38532|1526|3|24|3|22|1|5546.71|Failed
15792|991|1|13|4|11|1|1025.84|Failed
30628|1583|3|83|3|7|3|6109.21|Failed
16606|159|1|62|3|32|2|7509.6|Failed
28464|1097|1|53|3|23|1|5834.22|Pending
42695|1496|4|93|1|32|2|6349.46|Completed
54969|170|3|38|1|44|2|3746.43|Pending
8092|1254|1|28|3|21|2|3641.69|Failed
86874|1153|4|23|4|34|3|5394.6|Completed
52957|687|2|74|5|17|3|8574.71|Pending
25058|1251|1|65|2|25|1|4462.69|Pending
81709|916|4|55|3|3|1|261.79|Completed
16706|1440|3|5|3|1|2|1991.88|Pending
29967|829|4|67|1|2|1|4857.06|Completed
36892|1362|4|68|5|7|1|8540.44|Completed
50632|855|2|54|3|25|2|1710.87|Completed
38304|168|3|36|1|46|3|5792.46|Pending
37427|629|3|60|2|31|2|654.49|Completed
36196|1460|4|87|4|20|1|6094.02|Completed
84779|1154|3|87|4|3|2|4505.99|Pending
23719|815|2|21|4|44|2|9186.52|Pending
38098|1182|4|72|2|20|3|1455.91|Failed
99310|17|4|71|1|23|3|8958.6|Pending
95393|1818|3|94|4|1|3|8636.26|Completed
70013|1823|2|35|1|12|2|3584.36|Failed
44256|24|1|20|1|23|2|4840.19|Pending
70331|617|1|67|3|19|2|1838.07|Completed
69782|404|2|50|1|27|1|3854.9|Completed
86809|260|2|54|5|8|1|5387.92|Completed
64440|142|1|87|4|44|1|9224.23|Pending
80424|1180|2|22|2|42|3|4952.35|Failed
50864|119|4|94|5|12|2|3277.06|Completed
64927|1080|1|46|5|36|3|4821.19|Completed
55541|1196|4|23|1|38|1|1925.56|Failed
49240|1625|3|16|1|38|1|2138.7|Failed
99325|34|4|26|1|29|3|5210.42|Completed
41915|1486|4|2|5|26|2|2766.91|Failed
13938|586|1|2|4|1|2|5123.01|Completed
28098|1327|3|55|5|4|2|4137.67|Pending
37178|1444|3|88|3|41|2|2785.65|Failed
4234|33|4|41|1|5|1|931.6|Pending
48766|1713|4|33|4|26|2|9644.96|Failed
92540|629|4|43|3|13|3|8743.68|Pending
80230|330|3|42|1|6|1|9797.36|Pending
63123|1418|3|1|5|23|3|5972.36|Failed
43112|1251|4|24|4|30|1|6887.3|Failed
46075|41|3|98|1|50|2|3099.69|Failed
35653|1257|4|9|5|44|2|5798.55|Failed
39316|1168|2|59|3|20|2|4845.9|Completed
95774|348|4|30|4|50|3|6511.08|Completed
70459|1251|2|77|3|17|1|5633.97|Failed
74249|477|3|16|2|24|1|3847.37|Failed
88280|458|1|32|4|30|3|2128.45|Pending
26869|1655|1|52|2|6|3|699.79|Pending
71967|1417|1|41|5|5|2|1365.94|Pending
24970|1700|4|67|5|25|3|2305.2|Completed
99744|98|1|41|4|33|3|1377.85|Failed
56691|369|4|41|5|30|3|8838.8|Completed
82170|1350|4|48|3|5|3|8969.86|Completed
46569|1248|2|82|2|44|1|6387.63|Completed
27968|1592|2|75|2|7|1|9527.74|Failed
79236|311|2|51|1|41|1|2320.9|Completed
78509|1187|1|58|5|50|2|6736.23|Failed
88226|683|4|8|3|24|1|3390.59|Pending
4865|194|3|52|4|29|1|5730.94|Pending
85882|1068|4|54|5|39|2|755.79|Completed
46192|1763|2|13|4|13|3|7044.63|Pending
847|594|4|90|3|1|3|3573.46|Failed
29901|974|3|63|5|19|1|6166.61|Pending
19260|685|2|51|5|19|2|5450.2|Completed
86834|728|2|51|1|25|2|1568.15|Completed
42471|1716|1|56|5|29|1|7901.1|Pending
88094|1759|4|13|3|25|1|3329.28|Pending
99803|287|2|62|5|42|1|1465.43|Pending
15300|1074|3|27|3|40|2|6941.49|Pending
40050|1464|1|68|5|12|2|9608.05|Pending
22059|3|2|21|2|10|1|4580.7|Completed
94403|1033|3|4|4|27|1|3409.21|Pending
23184|1247|2|21|1|45|1|9626.44|Failed
60530|1280|3|81|5|50|3|7862.4|Pending
34571|1762|4|72|3|33|1|2515.16|Pending
66164|1036|1|31|5|24|3|8879.19|Pending
84357|1106|2|48|2|25|2|9367.04|Pending
59918|857|4|45|2|32|1|6305.61|Failed
22179|1726|4|15|3|50|2|2938.54|Pending
79098|1819|1|13|5|39|3|7833.58|Completed
17917|1792|4|2|3|35|3|4635.65|Completed
6088|1023|1|65|3|33|3|9862.35|Failed
277|723|3|68|4|31|3|76.57|Completed
48242|207|4|8|1|35|3|6595.11|Completed
30555|1771|1|1|3|43|1|6600.38|Failed
4101|924|3|22|5|25|3|5163.63|Failed
14269|545|1|21|2|15|2|6002.29|Pending
45931|1372|4|55|4|28|3|1976.37|Failed
50186|420|3|74|1|10|1|2269.03|Failed
90181|1605|3|36|1|43|1|1935.78|Failed
22877|1413|4|46|4|46|3|5973.1|Failed
57010|251|3|1|3|6|1|6535.58|Completed
83351|467|3|62|4|19|2|2785.88|Completed
16495|1382|2|6|4|24|1|461.49|Pending
44465|1570|3|79|1|32|3|182.38|Pending
23270|177|3|27|1|9|3|4032.95|Pending
35478|1151|1|25|5|44|1|3402.24|Failed
3166|1230|3|67|2|14|3|4296.14|Pending
26815|1816|3|50|5|25|3|2175.02|Pending
19382|1534|1|63|1|34|1|111.93|Pending
49965|136|4|23|5|25|2|9285.48|Pending
21283|1357|4|98|1|28|2|9130.21|Failed
33960|1324|2|19|3|21|3|1586.73|Pending
1600|383|2|27|5|27|1|2314.62|Completed
90241|413|2|73|4|32|2|5357.98|Completed
26621|259|3|1|2|35|2|2450.12|Failed
55953|623|2|69|5|2|3|7561.91|Completed
93351|1480|2|100|5|26|2|658.67|Pending
85624|1479|3|19|2|46|2|3491.28|Pending
41179|299|2|91|3|12|1|2672.42|Pending
43552|1366|4|82|5|38|2|2273.41|Pending
29517|316|2|65|4|5|3|2048.65|Pending
27644|56|1|59|1|35|2|460.59|Failed
88098|1191|2|47|1|20|1|8754.84|Pending
31917|581|4|45|4|7|2|5170.34|Pending
54502|1297|2|49|4|1|2|8831.88|Pending
59661|17|4|55|3|26|1|8146.12|Completed
48236|1090|4|77|1|50|1|6817.62|Failed
42597|457|4|46|1|1|2|61.09|Pending
21730|739|2|71|2|48|2|1821.7|Completed
72903|1569|1|22|2|1|2|4894.92|Failed
56905|1341|2|41|5|36|3|7657.93|Completed
97675|278|2|8|4|25|2|2326.08|Failed
34874|588|2|73|4|41|3|2698.15|Pending
85131|759|3|40|4|11|2|7650.72|Failed
63735|399|4|4|5|43|3|1784.86|Pending
52892|760|4|51|5|42|1|2055.87|Failed
39375|430|1|100|1|45|3|9707.43|Completed
63884|673|3|20|5|48|2|5031.3|Completed
84019|833|2|6|5|25|1|5090.28|Completed
54613|1153|1|72|4|1|3|2797.58|Failed
91525|201|4|61|1|3|3|1500.92|Pending
73006|412|3|81|4|47|1|6426.58|Failed
87255|758|4|8|5|42|3|6127.09|Pending
33366|1225|2|16|1|12|1|1545.09|Failed
33292|1463|2|48|1|14|3|6987.14|Pending
76293|921|2|76|3|45|3|8749.28|Completed
5775|849|1|65|1|47|1|3801.82|Completed
69418|305|4|12|5|25|2|3547.66|Pending
78713|1312|3|51|4|42|1|5712.16|Failed
11132|1801|2|36|4|37|1|8873.41|Pending
34317|849|1|77|1|5|2|1838.35|Failed
36694|544|1|27|5|44|2|8208.29|Failed
15409|1765|4|10|3|13|2|7741.43|Completed
96567|1106|2|17|5|49|1|9956.05|Completed
86763|1704|3|72|3|22|3|5093.43|Completed
34807|1408|1|72|3|16|2|8764.37|Failed
34552|173|2|59|3|23|1|4124.77|Failed
86262|1692|1|15|5|17|1|6543.86|Failed
37904|809|1|65|2|50|2|7165.78|Completed
31571|1210|2|48|3|11|3|4748.19|Pending
18137|1778|3|11|2|27|3|3929.12|Failed
61698|1825|1|77|1|14|1|5143.04|Completed
43900|1147|4|6|3|44|2|5775.28|Failed
69747|781|2|39|3|23|2|6995.86|Completed
55531|475|3|75|3|32|3|4332.36|Failed
59888|1620|4|31|5|1|1|9919.91|Pending
76067|527|1|51|5|43|3|5298.7|Completed
87698|1821|4|94|1|7|2|3407.71|Pending
97547|34|2|97|5|18|2|1436.89|Pending
48127|267|3|68|1|12|3|6682.49|Completed
68253|1511|4|99|5|25|3|5957.68|Pending
73000|1028|4|50|2|43|1|3370.8|Failed
70676|1300|2|64|5|25|1|7388.46|Completed
19738|395|1|100|4|25|2|5401.71|Failed
93902|1428|2|74|5|1|3|768.02|Pending
92108|533|2|47|4|38|2|3260.79|Pending
16367|892|2|8|2|3|3|3895.75|Pending
70324|346|3|94|3|34|2|6533.4|Pending
81930|1550|1|80|2|31|2|7509.73|Failed
77796|1209|1|10|2|21|1|4799.11|Failed
15622|623|2|11|2|32|2|9401.58|Completed
69736|225|1|61|5|6|3|926.41|Pending
73667|1688|2|59|5|39|2|1933.66|Completed
71383|1063|2|5|4|15|1|7380.58|Failed
49623|1198|3|43|1|40|1|6686.12|Pending
93320|264|3|30|2|17|2|2974.09|Completed
5788|269|2|72|1|21|2|6566.05|Failed
66083|942|1|90|4|41|1|4699.28|Pending
17775|1204|2|20|3|40|3|6985.2|Failed
70053|897|4|58|5|50|3|6035.41|Failed
20533|460|2|97|1|8|1|2245.48|Pending
62436|1386|4|99|4|43|2|8022.78|Completed
73045|158|4|26|1|20|2|2518.67|Failed
19785|892|3|49|3|1|2|3214.24|Pending
63511|1787|3|44|4|35|3|3573.63|Completed
74194|1328|3|45|2|23|1|5677.81|Pending
31486|237|1|48|3|32|1|1735.25|Failed
99555|412|4|35|4|22|3|5034.32|Completed
99047|1498|3|11|3|10|2|5831.96|Completed
70914|1632|4|2|1|29|2|583.43|Failed
77544|1603|2|66|2|5|3|8508.09|Completed
89952|1695|4|87|5|48|3|5851.99|Pending
68740|551|2|43|3|5|3|7188.76|Pending
17868|1555|4|24|4|46|1|4778.46|Failed
76775|323|4|40|1|27|1|9846.48|Failed
97371|503|4|11|4|29|3|2215.87|Completed
33533|1358|2|53|1|43|3|665.69|Completed
42818|1528|2|89|1|49|3|3514.31|Pending
10335|1307|2|97|1|4|1|3202.9|Pending
10504|1653|3|13|4|20|1|7299.4|Failed
32766|1330|1|99|5|16|2|4183.09|Failed
24749|1144|4|79|2|40|2|1886.84|Pending
87505|515|3|94|4|33|3|2156.06|Pending
31901|523|1|56|2|45|1|8067.7|Failed
9161|1142|4|31|2|18|1|269.58|Completed
5672|353|1|5|3|43|3|9954.84|Failed
94534|1150|1|18|2|42|2|6061.19|Failed
48337|65|2|1|2|8|1|6601.74|Failed
17009|1563|2|13|2|46|2|3306.03|Pending
86279|470|4|56|2|7|2|1687.12|Completed
65600|401|4|81|2|1|2|9327.47|Failed
19834|1231|2|33|2|26|3|204.7|Pending
49630|913|4|50|1|37|3|7919.29|Failed
41777|1314|1|65|1|17|1|4170.2|Completed
73119|848|1|37|4|18|3|3925.61|Completed
36676|797|4|44|2|18|3|4008.82|Completed
63421|1679|3|74|2|13|1|22.92|Pending
54606|210|1|36|4|20|3|3333.08|Failed
5669|1707|2|41|4|8|2|8311.98|Pending
7377|1691|3|14|1|37|2|9579.47|Completed
73205|272|3|64|1|34|3|4316.25|Failed
65421|157|4|12|1|44|3|6262.17|Pending
25497|793|4|26|1|26|1|8881.46|Failed
23979|558|3|12|1|34|1|7337.91|Completed
12946|131|2|34|3|37|1|1015.69|Pending
3297|1676|3|9|5|34|1|9581.27|Pending
4165|761|2|26|3|36|3|502.6|Pending
30804|1224|1|25|1|48|3|1389.67|Pending
19823|1093|2|24|4|50|2|2498.02|Pending
6587|1393|1|28|3|47|2|1458.65|Failed
61111|171|3|28|5|38|1|473.92|Failed
15013|184|2|88|2|49|1|5023.81|Failed
26042|543|2|50|1|34|3|2963.83|Failed
82924|964|2|38|1|34|3|8017.27|Completed
52098|261|2|78|4|33|2|1803.41|Pending
18836|909|3|99|1|22|3|7244.9|Completed
12564|1469|1|92|2|3|3|5342.36|Failed
1062|241|3|19|3|21|1|7255.9|Pending
69857|8|3|94|1|8|1|3564.91|Pending
33690|661|1|17|3|14|2|5648.84|Pending
96785|1331|2|50|5|11|2|3549.77|Failed
84999|737|3|90|2|21|1|2734.21|Failed
8385|1037|2|23|4|6|3|6602.88|Failed
82782|23|2|3|5|11|3|8897.31|Completed
47453|439|4|77|3|35|2|6710.49|Pending
73392|123|1|27|1|1|1|7134.5|Completed
51045|941|2|47|5|15|1|2272.88|Failed
40259|1576|3|51|4|42|3|6882.92|Failed
69526|296|1|40|3|46|1|481.75|Failed
33403|580|3|1|1|31|1|9826.28|Completed
20979|1617|1|53|1|16|3|5238.2|Completed
25371|403|1|41|1|15|1|9825.19|Completed
21323|276|4|43|3|10|1|7491.37|Failed
95457|83|4|19|2|5|1|8331.36|Completed
53424|1452|4|32|3|17|1|1162.7|Completed
73520|1036|2|64|3|13|1|7885.25|Pending
73485|1418|2|41|2|28|1|1001.81|Failed
63328|1180|1|14|1|15|2|9313.4|Failed
19266|1721|1|93|3|35|2|464.63|Completed
54666|1803|3|48|3|15|2|5689.05|Failed
12692|1818|3|94|5|10|3|1355.39|Completed
56655|165|3|60|3|25|1|7803.92|Completed
86402|665|2|33|3|25|2|9209.66|Completed
60322|355|4|21|1|26|1|9246.33|Completed
39088|397|2|55|4|37|2|6054.73|Completed
1527|830|3|19|3|31|3|5730.71|Completed
22796|1427|4|79|2|7|2|1996.52|Pending
65228|1359|1|11|1|29|3|5818.57|Pending
44223|1091|4|96|5|20|3|2462.19|Failed
62761|1508|4|1|4|19|2|7342.39|Pending
17176|1306|2|67|5|50|2|9241.01|Completed
9736|1205|1|11|3|20|3|2214.51|Failed
70402|747|2|62|2|2|1|7699.33|Completed
55513|1259|4|85|2|39|1|7744.19|Completed
94873|832|2|93|4|14|3|1959.61|Pending
80585|1750|2|78|1|8|2|7702.62|Failed
70886|255|1|31|3|38|1|434.77|Pending
68389|1417|4|31|5|45|2|5043.02|Failed
11561|751|3|58|1|34|2|2489.13|Failed
69576|25|4|77|5|39|1|9573.73|Completed
44572|605|3|23|5|40|1|8529.01|Failed
77952|791|3|50|1|39|1|5662.54|Completed
78903|765|3|67|3|37|2|8588.01|Failed
19002|75|1|6|2|11|1|1411.92|Completed
34759|361|2|32|5|37|1|8197.02|Completed
89754|1430|1|65|3|50|2|1197.42|Failed
32981|639|3|56|5|3|3|8700.27|Failed
79321|1396|3|81|1|43|3|3611.11|Completed
77419|591|4|68|2|39|3|4649.38|Pending
24045|451|1|14|4|44|2|6667.68|Pending
43268|101|3|94|4|29|1|6795.71|Failed
99113|905|1|28|5|6|2|5137.67|Pending
45792|626|2|64|4|11|1|9113.45|Completed
36695|1651|4|68|2|39|1|316.15|Pending
66125|360|1|4|4|14|2|3341.96|Pending
35250|573|2|79|1|6|2|1808.22|Failed
5885|1079|2|38|3|2|3|7506.59|Failed
87127|417|1|33|2|48|3|4212.46|Failed
61786|1103|3|73|2|38|1|3945.29|Completed
40833|1200|4|45|1|49|3|7577.27|Completed
31149|1274|4|94|3|6|3|2423.4|Completed
30028|1165|1|13|4|3|1|599.79|Completed
35206|1563|4|80|3|43|3|4117.82|Pending
37010|295|3|80|3|34|1|1348.55|Failed
67608|1043|1|28|4|31|2|1061.14|Completed
68265|993|3|56|2|11|3|2221.16|Pending
25111|1555|1|2|2|37|2|5877.23|Failed
88056|1643|4|1|2|50|1|8264.2|Completed
6263|1509|3|85|2|5|3|4511.97|Failed
24890|1825|4|2|5|38|1|5350.59|Failed
39183|161|2|74|3|2|2|6188.47|Failed
60516|533|3|5|3|2|2|2016.51|Failed
1594|1575|3|26|5|50|2|2589.71|Pending
16764|1199|1|32|5|15|3|3662.34|Completed
10625|1639|4|76|2|17|2|16.15|Failed
23350|164|1|78|4|27|3|5815.75|Completed
52410|822|4|28|1|8|2|615.4|Failed
69116|1635|3|6|1|13|3|744.09|Pending
54326|509|4|87|5|19|3|8014.05|Pending
21204|1562|4|43|2|20|2|8585.86|Completed
12194|689|4|72|4|4|1|1231.73|Pending
72033|1277|3|16|2|38|1|5499.44|Failed
51928|1726|3|19|5|38|1|8227.64|Pending
34349|760|3|45|5|16|1|2329.82|Pending
89733|1029|2|74|1|13|2|8107.29|Completed
99099|1450|2|40|4|4|3|6307.4|Completed
53141|99|2|26|3|38|3|8729.92|Pending
98684|297|1|42|3|17|1|4921.53|Completed
88578|1655|4|90|1|21|1|2410.22|Completed
27771|961|1|2|1|25|1|428.16|Failed
81087|1253|2|28|2|27|2|7990.9|Failed
21451|992|2|32|2|36|1|2707.78|Failed
55421|1687|3|50|3|45|3|383.45|Pending
68608|1550|2|39|4|14|2|101.11|Failed
45968|102|4|67|4|19|1|7053.73|Failed
26684|1399|1|51|1|50|2|5628.21|Completed
22749|1514|3|99|2|28|1|2100.36|Failed
32409|562|1|53|2|16|2|2382.92|Completed
6120|102|1|84|4|3|2|810.52|Completed
36053|205|1|11|4|35|2|9566.48|Completed
88992|1571|2|91|4|6|1|3045.77|Failed
14563|1464|4|36|4|44|1|8619.69|Pending
63927|1303|1|16|4|26|2|1637.32|Completed
34017|968|1|74|2|22|1|8759.34|Completed
11960|1185|4|88|3|33|1|3764.24|Completed
28313|1095|4|44|2|30|3|2608.58|Pending
53508|731|2|32|4|7|1|397.09|Failed
11028|794|3|4|4|35|3|7539.64|Completed
99775|474|1|88|3|48|3|6573.21|Pending
66936|971|4|81|1|11|3|3664.29|Completed
68182|637|4|72|4|5|2|8355.6|Completed
53460|1060|3|41|3|41|3|8334.81|Pending
98749|1786|2|94|2|15|2|2007.26|Failed
63568|1442|4|63|3|27|2|3251.51|Pending
17932|682|1|28|1|23|3|82.16|Failed
74930|1446|3|8|3|17|2|3964.82|Failed
16433|1416|3|40|2|8|3|8916.78|Pending
59461|305|4|7|1|49|1|8628.24|Completed
54700|492|1|82|4|7|2|5925.57|Completed
31784|782|4|47|4|40|2|2793.72|Failed
9117|895|2|63|5|15|3|7284.57|Pending
38265|536|2|68|3|20|1|5949.23|Pending
38716|992|2|23|4|35|1|7250.97|Completed
53081|852|2|8|4|43|1|1454.88|Completed
39157|859|3|14|5|38|3|529.1|Pending
51979|1592|4|49|1|27|1|1770.6|Pending
30199|1135|1|92|5|38|2|2996.19|Pending
96406|1486|3|48|4|9|3|4509.51|Pending
69066|808|4|68|5|46|2|8232.98|Failed
15681|629|3|82|3|34|1|4503.06|Pending
38955|1275|1|1|2|24|3|1863.94|Failed
80153|567|2|65|2|36|3|6279.13|Completed
50384|510|1|52|1|29|2|9650.29|Pending
63380|286|1|17|3|27|3|9988.84|Failed
88085|599|4|89|1|36|1|1640.25|Failed
90486|1583|3|8|2|32|3|6950.25|Pending
27312|1496|3|73|3|28|2|325.05|Completed
62852|887|3|23|3|15|2|7798.1|Failed
94344|735|3|23|4|43|2|659.18|Failed
97232|312|3|99|2|26|1|9386.49|Pending
72398|1373|3|75|2|44|1|1875.79|Completed
94877|135|4|60|3|15|1|3064.33|Pending
21699|974|1|40|2|2|3|3361.73|Failed
39588|158|1|56|5|12|2|4172.49|Failed
30364|1529|4|30|1|2|3|4904.65|Pending
31432|1583|4|14|5|25|3|9641.55|Pending
92908|1385|3|65|2|32|2|2993.22|Pending
88289|634|1|24|2|25|2|3317.69|Completed
61244|607|1|69|1|35|2|3684.88|Completed
90573|1359|4|1|4|19|2|163.37|Pending
16725|1513|3|52|4|33|3|6668.69|Failed
29669|972|2|77|4|10|3|4503.66|Pending
65726|1750|4|46|1|39|3|1492.02|Failed
37146|544|1|14|2|37|2|1140.98|Completed
14057|1091|4|23|4|20|2|4171.93|Failed
55270|1184|3|28|4|6|1|6867.06|Completed
2532|298|1|27|1|47|3|6906.28|Completed
67215|175|3|77|3|3|1|2812.87|Completed
91021|317|4|52|5|46|3|2221.19|Completed
32632|1674|1|4|3|38|2|4916.32|Failed
42379|1235|2|84|1|42|2|2395.11|Failed
1899|1115|4|19|2|15|3|4706.24|Pending
40414|372|3|80|4|30|3|3038.01|Completed
29403|145|4|28|2|26|2|8805.12|Pending
79931|1593|1|62|1|23|3|8016.07|Failed
34832|1102|4|10|1|36|1|8018.53|Failed
48881|1745|1|36|5|25|3|2641.09|Failed
26592|1073|1|82|3|49|3|9527.9|Pending
74218|332|2|56|2|20|3|4291.59|Failed
37413|1052|3|50|4|28|3|5545.2|Pending
89405|300|1|80|5|23|1|848.62|Pending
98156|1398|3|68|3|20|2|6544.22|Pending
93577|1300|1|23|1|34|3|9200.36|Pending
