loan_fact_id|date_id|loan_id|account_id|location_id|currency_id|loan_amount|loan_status
9769|790|25|44|21|3|191049.48|Approved
45222|235|32|45|24|2|365156.75|Approved
88659|4|10|8|23|2|16211.74|Rejected
49063|903|13|18|36|1|331041.1|Pending
32661|1575|26|2|47|2|215265.77|Rejected
21568|1010|8|56|16|1|487851.61|Pending
34576|248|42|6|45|2|394448.82|Pending
25936|595|17|100|24|2|409107.11|Pending
14168|776|39|17|33|2|372836.94|Pending
97640|708|23|26|8|2|454340.33|Approved
99515|336|38|81|50|2|211790.66|Rejected
14706|74|41|26|22|3|293584.31|Pending
79240|1377|16|21|48|3|185128.33|Pending
91935|390|40|53|34|3|205564.49|Approved
41294|1404|33|72|19|2|192292.04|Rejected
47421|1621|42|74|49|1|190200.54|Approved
74687|509|46|70|6|1|455227.87|Pending
15896|1357|31|31|40|3|40370.15|Approved
31100|894|22|25|9|2|20663.69|Rejected
91775|89|44|54|45|1|132625.81|Rejected
24007|860|19|1|45|2|431962.01|Approved
26212|217|13|33|28|3|12558.03|Pending
93148|1134|41|75|11|3|350812.69|Pending
11061|793|38|5|11|1|296672.41|Pending
69766|1479|27|22|4|2|350352.13|Approved
20983|349|29|31|7|2|316053.3|Rejected
39317|1800|36|27|17|3|90261.24|Approved
34299|687|20|50|45|3|122765.05|Rejected
8457|1371|31|2|19|3|381474.77|Approved
47026|1434|10|1|41|1|270834.35|Rejected
14004|1061|5|17|14|3|333043.15|Rejected
33255|1065|3|63|48|1|346643.41|Approved
14688|1147|40|23|26|1|362061.8|Approved
94955|366|12|17|34|3|451562.66|Rejected
55118|1150|45|70|2|1|340640.22|Approved
91287|1612|38|36|32|2|41173.08|Pending
14800|168|24|73|49|1|66389.43|Pending
69258|1259|49|50|16|3|247288.6|Rejected
10264|1583|25|60|8|3|235356.21|Approved
38754|1147|12|25|17|3|264440.23|Approved
52700|166|23|62|38|1|423226.31|Rejected
71105|1015|1|84|22|1|388775.18|Rejected
48307|80|38|21|15|3|214169.6|Pending
21224|142|37|51|41|1|12013.97|Approved
32443|145|12|43|30|2|430665.78|Approved
66825|412|30|65|46|3|445159.31|Approved
44821|524|12|81|40|2|202008.0|Pending
70387|516|35|27|50|2|470146.98|Pending
80903|215|10|19|5|2|372455.19|Approved
12694|1355|25|78|4|3|364540.03|Pending
30436|1050|42|65|34|1|359573.24|Approved
30214|1386|46|16|16|3|106710.01|Approved
12785|625|10|59|16|3|363062.57|Pending
72188|459|25|79|50|1|286052.67|Rejected
16306|234|41|93|9|1|288798.79|Rejected
72757|1129|20|24|3|2|147665.86|Pending
39797|391|4|13|48|2|394711.7|Rejected
95368|549|49|11|50|2|386469.1|Pending
7036|1509|20|10|20|3|147979.62|Pending
12256|1355|46|5|10|3|130419.63|Rejected
57838|419|49|89|24|1|410456.21|Approved
83687|1710|44|9|6|3|197458.18|Pending
61302|257|47|35|20|1|364209.06|Approved
88248|406|27|24|31|2|484994.51|Rejected
11555|552|36|10|32|2|364828.13|Approved
52241|79|16|41|37|1|186058.12|Rejected
75467|552|42|67|49|1|439867.59|Pending
39085|1228|21|69|19|2|121487.24|Rejected
8492|277|23|2|14|3|453115.92|Approved
76778|305|21|74|31|3|250073.04|Rejected
14062|139|32|37|17|2|343310.63|Rejected
45566|1125|35|45|18|2|341208.15|Pending
2804|1317|45|48|7|2|48176.35|Rejected
96507|746|43|2|5|3|266615.78|Approved
98562|1088|7|7|22|3|279047.67|Rejected
81748|439|27|98|36|1|157286.75|Approved
32064|978|3|90|27|1|117605.95|Pending
30602|1697|47|79|5|2|34879.24|Pending
56066|1285|32|11|30|2|103900.27|Rejected
16432|1258|30|28|11|1|132748.45|Approved
86983|1399|4|9|8|2|406176.76|Approved
33290|137|1|36|16|2|55308.32|Rejected
74026|1040|13|45|17|2|462560.79|Rejected
17620|840|24|87|16|1|429513.71|Rejected
73920|1387|34|38|34|2|300336.62|Approved
86088|686|2|61|28|1|150054.52|Approved
7901|860|15|76|45|1|166895.22|Approved
77782|780|32|9|47|3|476154.29|Pending
82203|1053|21|33|30|3|429756.69|Pending
7450|1138|38|62|25|2|317762.71|Rejected
57852|288|48|74|43|1|447079.36|Pending
56542|595|50|80|5|2|88908.65|Pending
49403|948|16|58|18|3|8753.77|Approved
55114|1445|49|57|12|3|257546.89|Rejected
68204|422|17|68|31|2|187317.76|Pending
15234|1644|2|2|19|2|70727.01|Rejected
36531|1050|20|71|38|3|85693.72|Approved
25513|668|20|90|48|3|439824.27|Approved
39885|1025|34|90|25|1|301164.31|Rejected
70874|1656|10|86|49|1|139794.34|Rejected
16383|1060|30|86|43|3|146707.33|Rejected
79354|1734|23|12|48|3|383775.96|Approved
9596|1622|33|76|27|3|277722.39|Approved
20706|170|10|85|38|3|21906.33|Rejected
34159|1|44|10|12|2|374021.75|Approved
81415|1105|20|37|1|3|239652.33|Approved
18283|1135|42|60|22|1|497216.3|Rejected
55905|1768|8|62|22|1|262766.8|Rejected
33045|729|47|90|18|1|236093.99|Rejected
73883|375|45|84|47|1|202295.89|Pending
60211|216|18|98|42|2|382805.15|Pending
44861|1454|22|65|45|3|177613.26|Approved
50879|320|5|56|30|3|239934.98|Approved
20170|702|15|24|30|3|88228.65|Rejected
77733|1568|27|11|22|3|306970.11|Pending
26862|637|9|86|48|2|181955.91|Rejected
77921|677|30|10|2|3|331094.04|Rejected
13797|664|48|90|17|2|473828.06|Approved
21553|1659|35|54|4|1|387640.95|Approved
29755|609|33|63|23|1|138492.31|Pending
83846|601|2|69|30|2|281020.96|Pending
35743|1511|47|91|47|1|381042.09|Approved
91623|5|48|16|41|2|155644.22|Pending
80572|1066|1|100|39|1|237942.7|Pending
28605|1637|24|18|27|1|379699.69|Approved
46939|1481|35|14|23|1|122684.09|Approved
2756|1471|24|39|22|3|329875.93|Rejected
93059|69|46|82|24|2|275302.09|Pending
16988|1694|26|74|19|3|190886.65|Pending
95288|1435|9|47|3|3|142697.34|Approved
61619|1399|7|97|9|1|8042.51|Approved
95166|278|33|88|44|1|7255.26|Approved
65990|1398|19|54|12|3|491522.78|Pending
35498|851|44|3|32|3|411320.72|Pending
65199|1778|49|80|35|1|96049.96|Approved
46122|1561|10|74|40|2|375832.34|Approved
89010|1244|17|37|48|2|275032.89|Rejected
67087|198|39|19|29|1|204879.97|Rejected
80920|1319|32|74|44|2|182851.26|Rejected
33805|603|25|13|32|3|120622.21|Rejected
15217|796|24|41|20|3|84650.14|Pending
34857|923|31|48|9|3|258732.42|Rejected
51056|3|36|53|6|1|463308.61|Approved
68976|9|16|40|21|1|425444.44|Pending
92985|507|15|8|14|1|113896.58|Rejected
11195|442|44|99|29|1|177368.0|Approved
83307|307|12|41|50|3|11750.2|Rejected
69343|231|16|2|13|1|63683.61|Approved
96990|107|8|76|12|1|499695.94|Rejected
59739|1083|19|51|21|2|244783.33|Approved
82087|1197|10|49|2|1|56505.42|Approved
81910|1135|46|8|16|2|288586.69|Pending
19335|294|19|88|48|2|264007.34|Rejected
34766|692|30|30|24|1|105581.63|Rejected
93925|42|17|20|49|2|130526.62|Rejected
58751|1815|15|55|4|1|170573.03|Rejected
8033|1389|26|17|26|2|200050.92|Pending
40013|1753|32|84|47|3|255003.32|Approved
34430|1657|33|25|10|1|332387.28|Pending
18286|1394|31|66|1|1|367797.65|Rejected
5436|1199|39|50|18|3|440012.97|Approved
47689|117|31|93|11|3|128873.75|Pending
6784|71|24|90|40|3|296000.28|Rejected
36584|893|39|77|23|2|289048.37|Approved
48564|687|12|3|29|3|416597.37|Approved
49354|767|9|57|14|2|165588.43|Rejected
68244|1732|35|9|4|3|364093.59|Approved
81361|736|11|38|28|3|144913.16|Approved
42315|1231|30|99|13|3|43774.2|Approved
62831|690|38|25|2|3|147478.11|Approved
19454|1201|3|3|29|1|297803.29|Pending
70110|1374|50|99|22|3|482641.61|Rejected
69714|680|50|60|28|3|38922.84|Pending
10042|1434|8|42|36|1|302307.1|Rejected
97254|286|35|81|43|2|95393.86|Approved
69496|111|21|65|34|3|169874.52|Approved
69409|1281|2|10|39|3|385090.55|Rejected
77655|106|17|24|30|3|337151.22|Pending
17695|1430|39|31|40|1|49726.92|Rejected
13454|939|22|64|15|2|324790.41|Rejected
87881|1753|26|74|41|1|60118.22|Rejected
36823|1485|46|14|33|1|471770.21|Rejected
4530|1620|5|26|44|3|163472.09|Pending
55257|214|6|9|34|3|12030.32|Rejected
82565|668|32|25|8|2|450487.16|Rejected
89484|1813|39|22|30|2|157478.57|Approved
58923|143|38|84|44|3|236365.86|Approved
37753|1140|3|63|27|2|297779.97|Pending
48885|1271|50|86|38|2|70390.8|Approved
38195|467|17|14|29|3|67346.05|Pending
19180|1182|27|50|19|1|166003.69|Pending
38446|1378|35|65|20|3|106384.15|Pending
84845|449|5|16|15|3|319462.22|Pending
61181|1319|11|33|42|1|378420.92|Pending
82088|1401|6|24|41|1|283507.39|Pending
75712|1540|9|11|3|1|37655.22|Rejected
35218|1322|50|19|17|2|451048.07|Approved
79653|1487|39|88|23|3|90738.83|Pending
31198|381|46|23|30|3|266047.48|Rejected
17207|568|23|49|10|1|464026.03|Rejected
26558|1033|45|96|14|2|438150.39|Pending
4589|327|40|21|48|1|497367.38|Rejected
67657|818|20|51|11|2|268272.15|Approved
24392|824|40|33|45|1|422343.62|Pending
95498|715|1|9|24|2|234758.85|Pending
46982|268|4|47|16|3|43142.6|Pending
26735|824|6|32|18|3|53885.15|Pending
34423|375|40|14|43|1|110286.82|Pending
48866|1009|30|22|36|1|198851.45|Pending
56092|1049|41|77|41|3|40277.41|Approved
85427|366|48|37|34|1|272855.04|Pending
88787|174|14|39|8|2|334833.55|Rejected
15335|390|9|35|6|2|400766.7|Approved
51624|1479|14|4|18|2|429053.61|Rejected
72492|1070|2|98|28|3|68618.19|Approved
15226|1754|44|81|43|1|192250.24|Pending
713|897|18|58|37|2|328646.87|Rejected
8097|1473|46|93|29|2|193389.25|Approved
87674|1548|20|13|39|2|84717.42|Pending
71968|1354|8|23|35|2|92390.28|Pending
77560|580|20|49|29|2|423170.71|Rejected
87269|98|41|34|44|2|311696.51|Rejected
367|613|6|50|7|1|169874.37|Pending
85625|473|25|95|33|1|17847.97|Rejected
58851|255|25|42|3|1|57677.89|Rejected
75907|1358|2|67|12|2|425242.1|Approved
48708|1078|15|92|5|3|180058.23|Rejected
24883|1822|21|30|38|1|244509.64|Approved
53903|1780|20|47|2|1|74791.43|Approved
19082|1389|48|6|23|1|202976.2|Rejected
97375|1349|46|25|16|1|230335.28|Rejected
49798|967|49|11|44|1|458410.75|Approved
53921|1789|40|37|7|1|185524.34|Approved
87368|317|26|90|38|1|87295.38|Pending
53381|7|44|89|3|3|114439.23|Rejected
37395|256|1|39|12|1|169064.35|Approved
44376|147|23|54|45|3|396064.72|Approved
75100|1563|11|9|18|3|281410.78|Rejected
46786|992|44|37|3|2|178970.38|Approved
16229|1046|6|96|27|3|276179.02|Pending
71826|130|33|35|21|2|172474.17|Pending
73998|174|35|66|13|2|259985.72|Approved
67802|606|11|32|10|3|175641.48|Pending
36947|1254|46|47|16|3|201121.52|Approved
16782|756|42|47|3|3|395981.83|Rejected
49752|1561|35|29|20|1|351333.42|Approved
50800|1169|12|26|9|1|245840.97|Rejected
57696|1671|7|88|12|1|408392.33|Approved
85358|1664|13|98|42|1|267026.21|Approved
83786|1648|31|55|44|1|259026.17|Rejected
61473|1473|39|98|22|1|368927.6|Approved
14524|56|18|54|12|3|46929.88|Rejected
91341|271|49|3|39|2|309249.77|Pending
74599|930|50|67|43|1|431119.58|Pending
77479|16|42|56|7|1|231575.64|Rejected
22517|830|15|1|29|3|376442.03|Pending
30613|1326|5|34|48|2|244519.97|Pending
93866|1070|49|65|22|1|311121.55|Pending
19935|621|5|4|15|1|235009.34|Rejected
70032|607|3|25|49|2|400973.14|Pending
78251|30|21|31|3|1|127900.56|Rejected
96997|840|47|94|18|3|416583.64|Approved
2259|778|11|10|24|3|58461.75|Approved
87547|320|41|84|47|3|411293.74|Rejected
22295|708|30|91|8|2|243457.33|Pending
25022|1012|33|47|21|2|113421.98|Pending
15745|998|22|75|21|1|113438.26|Rejected
40134|1464|23|27|11|2|158646.28|Rejected
95232|1545|17|8|9|2|478566.09|Rejected
92978|732|34|53|46|2|54920.09|Approved
60259|1327|18|89|11|1|419799.13|Pending
66720|714|8|36|36|3|77695.65|Rejected
63539|527|1|14|22|3|193178.5|Pending
99062|1281|47|63|20|1|247192.08|Pending
73358|471|10|35|34|2|183750.17|Rejected
9752|1734|13|13|36|2|439992.1|Pending
27925|558|36|81|20|1|334112.02|Approved
29149|346|19|73|49|1|215722.42|Pending
58451|828|37|26|8|1|76175.18|Rejected
91873|58|47|31|6|2|499234.23|Approved
32324|977|9|33|31|2|402142.46|Approved
35906|1161|50|37|31|1|398543.61|Rejected
93224|767|34|80|24|1|215498.13|Approved
36195|824|25|21|41|2|327169.38|Pending
54972|757|22|54|36|1|133600.46|Rejected
89084|17|4|70|29|2|326298.16|Pending
89431|36|17|66|34|1|409863.71|Pending
10732|409|2|29|26|3|225884.57|Approved
51034|72|19|22|43|2|283736.78|Approved
59118|1794|8|68|18|3|54774.81|Pending
3210|1779|3|68|33|3|362420.51|Rejected
90550|150|28|35|50|3|29173.53|Approved
82408|1025|15|89|50|3|414728.54|Rejected
13402|1089|16|37|48|2|460415.41|Rejected
84234|149|9|76|23|2|264231.89|Pending
1443|942|12|56|43|3|121962.09|Pending
58309|1106|45|11|26|1|120320.06|Rejected
76345|1121|43|92|31|2|362820.57|Rejected
58192|1668|39|10|50|3|197176.43|Approved
40485|1416|22|46|33|1|298359.15|Approved
24289|1624|10|27|23|2|428930.61|Pending
22961|1211|18|53|7|3|287686.0|Rejected
1721|726|2|44|7|2|196381.11|Approved
45908|1796|48|17|5|1|442162.5|Pending
94050|1700|35|10|1|2|413073.09|Pending
23205|414|21|16|3|2|213605.28|Pending
39985|66|23|27|23|2|217292.58|Approved
9281|1104|45|36|45|3|423372.58|Rejected
23922|1551|30|17|12|2|233683.05|Pending
68900|835|2|98|8|3|371567.8|Rejected
55546|444|5|66|19|3|331915.34|Pending
48065|989|40|72|41|3|494388.65|Approved
8054|1201|12|11|42|3|433947.39|Rejected
97914|568|39|63|13|2|220269.36|Approved
15991|1367|39|63|28|3|69727.52|Approved
90974|1105|42|46|46|3|102552.52|Rejected
55598|540|6|21|16|1|375850.33|Pending
95185|1735|46|55|1|2|308948.96|Rejected
11866|655|27|62|20|2|296224.96|Pending
49676|375|23|88|22|3|405542.78|Approved
70657|465|18|12|33|2|296448.31|Rejected
48292|141|49|96|22|3|463608.26|Pending
58129|334|7|44|16|3|481147.26|Rejected
75960|802|42|92|43|2|128387.98|Approved
82897|440|42|38|33|2|15598.67|Pending
75756|1391|25|86|23|3|381077.52|Rejected
72421|1454|6|42|37|1|401111.4|Approved
71801|250|44|18|31|1|66314.36|Pending
30308|1806|14|67|36|2|89854.46|Approved
17849|636|4|70|35|2|180501.52|Pending
35652|494|12|66|43|1|327985.5|Pending
51885|1146|40|4|20|2|5130.38|Pending
87460|1372|45|99|40|1|310136.67|Pending
74692|988|40|71|4|1|308536.34|Pending
57296|1171|2|98|24|1|481009.55|Rejected
86525|1731|46|42|38|2|154766.31|Rejected
91885|1612|6|28|39|3|454834.98|Rejected
6260|625|48|85|39|2|238783.11|Rejected
56155|1111|20|44|50|1|336874.19|Approved
3842|701|20|15|49|1|337440.03|Approved
6685|963|11|9|28|2|9468.64|Rejected
79326|1147|8|2|43|3|134305.66|Rejected
57793|1806|46|45|7|3|122932.66|Approved
73149|213|44|55|19|3|322753.94|Pending
46957|1481|49|66|10|2|460318.8|Approved
13991|1344|44|53|3|2|104301.4|Approved
26553|823|24|43|15|3|37748.49|Pending
27355|986|13|14|29|1|367411.87|Pending
83419|82|46|73|41|1|451372.19|Approved
17438|562|23|25|28|2|257982.48|Pending
93972|1167|44|91|35|1|445153.17|Rejected
9930|859|9|52|46|1|445808.73|Rejected
90352|55|29|78|22|3|131096.65|Rejected
22650|1367|35|3|2|1|333148.12|Rejected
97983|99|45|69|48|2|13254.99|Rejected
24762|647|27|1|32|3|64907.91|Approved
41908|1161|32|81|27|2|91432.22|Rejected
10738|961|17|63|12|2|260425.63|Pending
56232|1602|25|44|5|1|21335.56|Rejected
93170|1412|12|41|12|3|257826.79|Rejected
64839|932|11|68|11|2|400449.0|Pending
75746|844|35|76|37|3|482654.39|Approved
26471|328|7|41|12|3|312323.67|Rejected
63149|277|18|47|40|1|335933.57|Pending
24620|1799|49|60|8|1|324533.09|Pending
96635|1150|22|85|16|1|81733.15|Rejected
85126|1158|43|66|38|1|346007.68|Rejected
21232|1161|21|36|37|1|79038.89|Pending
1932|1546|41|49|14|3|207039.0|Approved
5104|343|42|20|21|3|212037.04|Rejected
61880|135|50|44|43|2|342795.99|Rejected
53456|1260|33|23|10|1|270128.98|Rejected
89109|238|37|52|23|2|14340.75|Rejected
2135|848|16|73|42|1|97316.26|Rejected
86195|1573|17|53|15|1|379850.39|Approved
16022|1126|4|70|37|2|300401.01|Rejected
76053|284|27|35|29|1|112513.53|Pending
9236|1|23|48|30|1|354046.87|Pending
1829|292|37|88|8|1|485035.24|Pending
85803|1409|20|85|20|2|367488.26|Rejected
73918|314|44|100|17|1|282852.35|Rejected
51623|177|39|32|50|2|282228.56|Approved
67800|86|27|49|21|3|287114.03|Rejected
57337|551|3|6|38|1|147397.47|Pending
22883|1678|43|56|5|3|263864.93|Approved
17434|1229|4|1|30|1|162902.2|Pending
13408|823|2|17|5|3|361184.02|Approved
10340|1432|22|24|16|1|157322.45|Rejected
40587|1233|37|13|42|1|182243.52|Approved
52280|1181|21|64|37|3|53560.57|Pending
81185|1478|25|35|15|3|448199.35|Rejected
16213|1757|41|100|18|3|113957.23|Rejected
24652|1323|30|98|29|3|89226.91|Approved
93060|702|9|24|44|1|286928.09|Rejected
89632|215|49|92|21|3|287521.79|Pending
70149|652|34|60|48|2|98342.26|Rejected
5537|377|2|39|1|3|260046.04|Pending
6353|899|34|60|27|2|64522.29|Approved
81149|1476|32|61|22|2|89162.22|Approved
78409|885|24|23|50|3|209194.54|Approved
46387|1104|11|50|25|3|64705.22|Pending
80181|607|25|97|2|3|228657.97|Rejected
67079|1671|19|81|44|2|234970.75|Approved
41737|1532|1|87|32|1|207929.22|Approved
79636|490|25|39|7|3|253914.04|Pending
74961|1660|16|54|18|1|411517.13|Approved
58960|1148|20|55|45|2|66711.0|Pending
77723|1613|24|59|8|2|384043.98|Pending
46534|1596|3|84|47|1|158047.01|Approved
31097|1614|48|100|30|2|358263.82|Approved
17460|1292|34|99|46|1|434214.87|Pending
82941|1441|31|48|14|2|208514.13|Pending
84987|1349|34|68|10|2|173186.36|Approved
21593|666|3|58|17|2|286507.62|Pending
94011|251|42|1|25|3|24653.08|Rejected
35694|1245|24|63|37|2|160402.49|Approved
32725|647|1|84|10|3|386557.37|Rejected
77294|1456|27|97|11|2|63137.8|Pending
