interaction_id|date_id|customer_id|channel_id|location_id|interaction_type|interaction_rating
8768|1166|83|4|34|Call|1
25683|1490|32|4|31|Email|4
62865|1139|32|1|36|In-Person|5
21444|145|81|3|38|In-Person|1
71846|316|22|4|8|Chat|1
89989|312|58|4|3|Call|4
16159|338|68|4|16|Call|1
2511|464|100|3|31|Chat|3
97395|818|43|3|29|Chat|3
63926|635|34|4|24|Email|2
60668|1058|61|1|15|In-Person|1
36071|705|19|2|19|In-Person|4
23626|1065|48|2|38|Call|4
39820|1281|12|5|45|Chat|3
33676|1702|2|4|26|Call|1
66898|41|11|1|17|Call|1
2395|1488|65|5|13|Call|3
10666|1643|35|2|18|In-Person|2
48644|528|49|5|30|Call|3
17237|1640|28|2|25|In-Person|4
77658|1306|71|5|25|Email|2
7338|459|13|2|3|Call|5
19273|729|4|3|44|Email|1
13164|1466|23|1|1|Email|2
71773|522|90|2|23|Call|4
65373|1103|39|1|42|In-Person|3
68611|1189|94|4|47|Chat|3
39707|1547|35|3|4|In-Person|1
76860|247|76|1|22|In-Person|1
23190|638|52|3|22|Call|2
3795|1332|37|5|26|Email|3
35302|1650|99|2|14|In-Person|3
77999|1364|2|1|42|In-Person|1
97663|1541|32|4|48|Call|2
25349|1559|54|1|32|Chat|5
53741|589|99|2|21|Email|1
34859|1785|46|4|34|Chat|1
47397|1192|21|4|37|In-Person|2
57165|1539|20|4|35|Chat|3
25286|1456|9|3|26|Chat|1
64938|1655|18|5|13|Call|4
72719|1649|23|4|3|Chat|3
44920|768|72|2|15|Chat|4
32456|142|82|1|11|In-Person|4
57183|806|58|4|1|Chat|3
34917|753|1|5|27|Call|1
97718|1084|62|2|26|Call|3
19210|1053|50|1|36|Call|4
34975|148|65|1|45|Call|3
38498|298|80|5|38|Call|5
75256|181|7|4|43|Call|5
76980|455|70|5|35|Chat|2
31167|390|96|3|16|In-Person|5
72695|1156|2|4|2|Call|3
92113|301|57|4|6|In-Person|3
12140|1427|2|2|4|In-Person|2
14896|351|36|2|23|Call|4
80142|1124|46|4|50|Email|4
90997|195|41|5|3|Call|2
72303|1509|5|2|46|Chat|1
35444|1516|85|4|31|Chat|2
48385|270|93|1|29|Email|5
58317|1235|63|4|45|Call|4
98969|856|67|3|13|In-Person|2
35014|1551|9|5|26|Call|5
59449|138|46|3|2|Email|3
30339|123|51|5|44|Chat|5
24456|1561|2|5|33|Email|5
84678|1353|55|2|14|Chat|2
47394|624|45|3|18|Chat|1
18574|578|13|2|15|In-Person|5
91442|394|92|5|40|Chat|1
28513|1565|15|3|2|Call|4
69485|890|63|4|22|Email|4
89192|175|57|5|46|In-Person|4
92957|1045|32|4|24|Chat|4
35809|803|86|1|13|Chat|2
68046|1002|15|5|13|Call|4
88840|1470|98|2|19|Call|1
19971|687|19|3|2|Chat|3
22485|537|27|4|46|Email|4
96165|1395|67|2|45|Call|4
68223|804|18|3|44|In-Person|1
63198|592|35|1|38|Chat|1
71922|244|85|2|25|In-Person|2
14973|1107|43|3|36|In-Person|2
62300|387|25|2|9|In-Person|3
11445|1342|49|4|49|Chat|4
96395|1455|96|5|13|Call|1
93447|1027|35|1|47|Call|1
83526|1306|11|4|16|Call|2
56917|714|7|2|45|In-Person|2
32422|653|37|4|3|Call|3
44745|559|31|5|29|Chat|1
8985|213|9|1|13|Chat|4
10363|1603|35|3|40|Email|5
15895|415|50|4|50|Chat|1
61295|1153|4|5|46|Chat|4
33127|1355|54|1|19|Chat|3
80409|1019|17|5|1|In-Person|1
49918|1284|71|1|20|Call|3
89452|1719|70|2|15|Email|2
67774|407|27|4|20|Email|5
88946|660|26|2|41|In-Person|5
60769|946|92|2|48|In-Person|1
30967|835|92|2|46|Chat|2
72533|680|79|1|46|In-Person|5
49075|1157|9|5|30|Chat|2
68186|32|38|2|16|Call|5
1570|1091|18|5|9|Email|1
72003|1495|24|2|12|Chat|5
39723|1138|58|1|39|Email|1
29421|1064|68|3|44|Call|3
85206|1386|87|3|41|Email|4
23187|1805|83|1|16|Call|2
60293|392|96|5|19|Email|5
20039|1219|60|3|31|Email|4
41004|188|61|2|20|Chat|3
87428|642|59|3|3|Call|4
37975|193|3|3|22|Call|2
65028|1369|23|5|50|Email|5
83475|1541|30|5|35|Email|5
66261|281|7|5|30|Chat|3
39522|926|96|4|3|Email|2
8672|786|46|4|14|Call|3
65039|223|43|1|23|Call|2
65356|647|15|4|29|Email|2
45951|948|94|5|39|Email|4
41108|162|94|4|41|Email|3
92882|1826|17|4|6|Call|5
71230|516|65|5|11|In-Person|3
80579|213|95|3|49|Email|4
23584|21|85|2|47|Email|2
55467|137|36|3|32|Call|2
17589|1096|29|4|1|In-Person|1
84095|164|86|4|5|Chat|1
52902|1497|73|4|35|Call|3
96820|951|51|3|46|Call|3
39405|1066|17|2|46|In-Person|3
88426|578|6|1|13|Chat|1
51956|1472|64|5|39|In-Person|3
74552|701|12|3|30|Call|2
91561|419|84|1|10|Chat|2
61288|744|52|2|46|Call|2
48435|187|19|1|40|Chat|3
42577|886|49|5|9|Call|5
41043|1052|10|5|5|Call|5
57333|415|95|3|7|Chat|2
81058|828|69|2|39|Email|5
55858|596|72|3|8|Email|5
87982|1406|83|3|30|In-Person|4
64624|1270|30|3|47|Call|3
84156|1405|40|1|19|Call|2
81197|1479|64|4|31|Chat|5
96781|1306|41|5|2|In-Person|3
79429|57|50|2|18|In-Person|4
51800|1311|34|2|18|Email|2
44326|468|37|2|17|Email|1
55392|1818|60|2|2|Call|1
85409|670|59|4|18|Email|5
3800|1248|96|5|44|Call|3
22314|895|93|1|34|Call|3
7948|1224|37|2|23|In-Person|3
56871|324|89|4|24|Email|5
80520|1399|71|1|30|Chat|2
23923|1222|50|5|42|Call|1
89774|155|91|5|11|Chat|2
19306|1315|83|3|20|Email|3
58943|1309|94|3|39|Chat|2
69824|832|35|4|42|In-Person|5
18358|1700|73|2|36|Call|3
55873|1617|57|5|30|Email|3
55040|294|48|4|3|Call|4
25678|255|16|2|13|Call|3
52960|1050|73|5|39|Call|5
30045|910|83|4|30|In-Person|3
42482|1737|60|5|21|Email|5
81429|414|48|4|12|Email|5
51908|1214|74|3|48|Email|2
99289|541|95|2|16|Call|2
3886|293|50|2|27|In-Person|1
94773|1147|100|1|18|Chat|3
46|1356|58|1|21|Chat|3
52887|1729|44|2|27|Chat|4
42914|1494|4|2|46|In-Person|3
19446|467|42|1|25|Email|4
27792|956|53|4|44|In-Person|4
66156|1578|13|3|39|In-Person|5
49258|294|72|1|2|In-Person|4
56965|173|48|4|10|In-Person|3
7752|1015|64|4|20|In-Person|2
12006|805|57|4|37|Email|4
70893|1787|91|2|23|Email|4
45190|1328|47|5|3|In-Person|1
81338|416|17|5|47|Chat|2
27528|1540|70|2|25|In-Person|2
72241|219|2|4|8|Email|1
92055|819|90|5|2|Call|4
46141|1198|55|3|30|Call|2
28669|1751|64|1|11|Chat|1
1501|1420|77|5|25|Email|1
79514|909|51|2|40|Chat|1
18112|1141|18|4|16|Email|4
46517|278|29|1|40|Call|4
14583|809|84|5|5|Email|2
99309|744|66|3|33|Chat|2
96776|1502|34|1|6|Email|1
20028|608|82|3|36|Chat|2
87853|580|68|1|50|Email|2
85719|1610|12|5|41|Chat|2
58703|429|77|3|50|Chat|3
57751|1467|31|4|18|Email|2
16892|600|22|2|10|Call|2
53242|1721|31|5|15|Call|4
57472|641|51|5|37|Chat|4
48572|1557|13|2|17|Call|3
76804|1418|16|1|27|Call|5
32768|1074|73|1|47|In-Person|5
28029|1598|39|5|41|Chat|2
44773|656|37|4|12|In-Person|4
19989|58|3|5|43|Chat|4
93484|404|57|5|30|Call|4
29563|1503|4|3|50|Email|1
1841|968|77|4|29|In-Person|1
18689|1484|60|2|40|Email|5
45164|435|36|2|36|Call|5
24701|699|35|1|30|Call|2
98297|1432|25|2|18|Email|1
6457|1556|79|4|23|Call|5
58692|576|88|4|30|In-Person|2
20998|62|11|4|49|Chat|2
39360|1268|10|2|40|Chat|1
31237|597|80|5|48|Email|3
81168|933|67|4|37|Chat|3
86751|1486|54|3|27|Chat|4
35508|1824|100|1|3|In-Person|4
96682|452|95|2|3|Email|3
79180|1589|76|4|50|Chat|3
69010|1593|64|1|1|Call|1
5184|629|74|1|20|Call|1
90298|1271|14|5|38|Email|2
43307|299|43|4|13|Email|2
13030|1307|43|4|8|Chat|4
15266|1278|80|5|44|Email|5
24288|1001|5|4|46|Email|1
78217|1149|76|5|36|Email|3
34220|296|21|1|1|Call|5
43088|521|48|2|5|Call|4
64594|906|28|5|27|In-Person|1
17281|1053|97|1|25|Email|4
21478|1250|87|3|46|Call|2
34373|1310|27|2|43|In-Person|5
59021|1707|30|5|16|Email|5
19531|440|67|2|38|Email|1
34179|680|82|1|42|Call|1
36784|25|32|4|1|Chat|2
85779|367|4|1|50|Call|2
2211|1181|43|3|38|Call|2
8978|1710|66|1|29|Call|4
6356|1308|56|4|16|In-Person|5
58687|477|59|4|18|Chat|1
92806|34|10|4|11|In-Person|5
56586|1580|80|1|28|Chat|5
94982|77|14|1|12|In-Person|4
2103|1724|11|1|48|In-Person|4
55336|1375|39|5|19|Chat|3
92495|89|99|1|28|In-Person|2
53550|280|65|4|38|Call|1
51100|669|41|1|12|In-Person|3
41764|126|16|4|5|Email|1
8391|16|2|2|42|Email|5
22018|130|19|1|3|Chat|3
28285|26|24|2|23|In-Person|1
20004|306|2|1|20|Call|2
55168|708|89|1|43|Call|4
16933|626|37|1|37|Chat|1
62538|651|19|5|41|Chat|1
84426|1368|34|3|37|Call|4
94079|962|64|1|45|Call|5
87183|468|84|2|45|Call|1
13089|1492|91|5|45|Call|1
14769|698|71|3|8|Email|4
2157|45|98|5|20|Call|2
74305|292|84|3|29|In-Person|4
54453|1676|92|5|19|Email|3
36824|1345|58|5|31|In-Person|1
3228|252|63|5|4|Call|5
19686|1227|64|1|17|In-Person|1
41729|364|8|5|11|Email|4
14927|1585|29|1|24|Email|4
11361|573|92|1|2|Chat|4
21586|483|74|2|33|Chat|4
74956|962|97|2|26|Email|3
8867|246|33|5|40|Chat|2
86864|324|19|3|19|Call|3
20912|1083|89|5|44|Email|3
36931|808|26|2|44|In-Person|3
34029|1355|93|3|24|Call|5
85814|1649|58|1|47|Call|1
68135|1204|4|4|17|Chat|4
47921|200|3|4|44|Chat|2
80741|174|57|1|29|Call|1
88615|1212|18|2|49|Email|5
85298|481|62|1|35|Call|1
12249|103|55|5|10|Call|3
29937|379|44|4|34|Call|1
52624|1066|100|5|43|Call|2
64488|1482|47|1|13|Email|3
41023|1638|27|4|47|In-Person|2
50096|724|3|2|33|In-Person|4
50034|530|96|1|33|Call|5
94749|1519|94|4|36|Call|4
82998|838|52|2|14|Email|1
41529|316|77|2|47|Chat|1
6581|895|100|2|32|Chat|4
56826|965|13|2|8|In-Person|1
91299|1557|10|1|1|Call|5
91830|400|93|1|21|Call|4
7408|260|66|5|4|Chat|3
12305|265|15|5|2|Chat|3
67403|397|2|5|35|Call|2
88760|1398|50|3|12|Call|4
8403|1157|15|1|35|Email|2
4297|1423|6|5|28|In-Person|4
63929|966|33|5|9|Email|2
6114|57|18|2|4|Email|1
21786|582|47|4|15|Chat|4
72523|1596|37|3|6|Email|3
3323|1361|91|3|2|Chat|4
73372|538|99|3|37|Chat|5
62916|1740|60|1|27|Chat|2
68854|566|74|2|32|Chat|3
4134|695|84|3|40|Call|2
25819|1123|54|3|8|Email|5
92019|131|15|1|13|In-Person|1
5698|121|39|4|17|Chat|4
39787|1052|92|3|11|Email|3
36987|246|44|1|31|Call|2
41219|996|46|2|4|Call|1
92939|670|13|3|10|Call|3
17987|1225|71|1|43|Call|4
68323|728|96|5|49|Call|5
49219|1198|2|1|34|Chat|5
6633|1470|43|1|22|Call|4
6750|758|96|2|3|Email|3
13451|226|96|1|50|In-Person|2
34888|701|24|4|22|Email|4
80820|390|92|1|18|Email|1
28604|890|13|3|44|Call|5
33897|921|61|1|8|Chat|4
30477|1475|50|5|41|Call|3
21070|204|48|2|39|Email|4
366|1290|52|3|28|Call|4
99968|916|58|1|1|Chat|2
52114|1266|91|3|29|Email|2
22072|534|40|1|32|Email|5
82118|1440|38|4|21|Email|5
52428|844|60|1|14|In-Person|1
96976|1556|52|2|11|Call|2
17040|74|81|3|10|In-Person|4
41904|151|15|1|25|In-Person|2
68727|960|73|1|42|Chat|5
60791|43|90|5|42|Call|4
27147|247|19|3|36|In-Person|5
74770|1118|44|5|5|Email|2
73803|566|23|2|10|Call|2
69331|433|66|4|9|Call|3
84959|884|82|1|40|Call|4
51425|436|39|5|6|Chat|2
48141|61|67|1|34|Call|3
8232|751|95|4|21|Email|2
94733|518|88|1|18|Call|2
35845|1806|24|2|9|Call|4
27625|1328|55|4|47|Email|3
30789|132|78|5|4|Call|1
90021|989|84|3|20|Call|4
56708|1547|58|2|18|Email|2
8040|739|7|1|6|In-Person|4
63333|399|14|3|4|In-Person|4
99087|1747|80|5|46|In-Person|2
36416|671|51|1|40|In-Person|5
85676|565|33|4|18|In-Person|4
79169|1729|6|1|15|Call|5
78820|935|77|4|18|Call|1
64212|873|21|5|21|Call|5
3948|1601|96|3|33|Email|3
39260|1300|78|3|32|Email|4
45207|1410|98|2|36|Chat|2
13137|498|77|4|41|Call|1
19813|262|74|2|42|In-Person|3
17187|666|93|4|45|Chat|4
57885|478|5|3|23|In-Person|1
59936|1142|20|2|2|Call|5
48668|396|72|1|47|Email|3
88067|611|10|3|39|Email|1
44902|1052|23|1|12|Call|1
75165|526|89|2|41|Call|1
8813|1502|36|5|4|Chat|4
64809|532|32|2|41|In-Person|2
48123|1237|21|2|43|Chat|4
31517|688|34|1|17|In-Person|4
47916|1326|6|4|15|In-Person|4
52990|1588|32|5|11|Call|5
24811|589|15|2|24|In-Person|4
67627|701|78|4|25|Call|4
93702|978|51|5|3|Call|3
34566|1119|97|3|16|In-Person|2
30661|816|71|1|28|Call|2
56833|55|7|5|9|In-Person|2
4655|949|71|3|22|Email|3
6253|615|57|3|45|Call|1
85153|12|100|4|34|Call|4
82630|1368|76|4|43|Call|2
21655|1397|26|1|46|In-Person|5
20145|1542|17|5|40|Email|1
68462|126|30|3|37|Chat|1
21951|396|74|4|44|Chat|5
69068|566|1|1|24|Chat|3
54628|48|33|4|3|Email|2
31212|575|51|2|32|Call|5
31606|1022|21|3|18|Chat|1
97497|1819|76|3|42|In-Person|5
16947|617|64|2|35|In-Person|4
6238|659|63|4|41|Email|4
98743|437|87|2|38|Email|3
84370|1755|59|4|18|In-Person|5
40663|1686|63|4|25|Chat|2
32466|535|47|1|1|Chat|4
88686|1330|4|1|12|Chat|3
84261|953|79|4|48|In-Person|4
78717|1746|77|2|8|In-Person|3
16470|1023|38|3|47|Chat|2
62451|613|2|1|13|Call|3
45880|660|10|2|45|In-Person|3
40472|881|10|1|36|Email|1
5346|675|22|5|4|Call|2
37716|291|35|2|4|In-Person|2
35549|741|11|3|33|Chat|4
40652|1075|78|3|48|In-Person|5
66203|329|88|4|44|Chat|5
18115|1165|26|5|19|Chat|1
51252|309|43|1|47|In-Person|5
71718|648|26|3|35|Call|1
1083|1678|100|1|19|Call|4
37638|447|78|5|44|Email|3
56538|418|42|5|18|Chat|2
19484|300|42|5|31|Chat|2
96875|1319|84|2|46|Call|2
98672|1344|45|4|5|Email|4
68919|1056|93|4|6|In-Person|1
37905|299|54|1|35|Chat|2
63931|1201|65|4|34|Chat|5
46667|1583|32|4|26|Email|3
55459|1791|32|4|10|Call|4
66638|1742|23|1|31|Call|5
73729|1332|75|1|15|In-Person|4
35402|1394|58|1|27|In-Person|3
73665|567|2|5|18|Chat|4
5038|938|100|2|30|Chat|3
44025|1763|31|3|16|Call|3
60010|1728|82|2|13|Email|5
75515|278|64|5|39|Email|2
3516|1341|94|5|21|Chat|4
35907|179|69|5|31|In-Person|5
58534|1570|83|4|13|Email|2
70718|1739|45|4|7|Call|5
61105|116|10|4|48|Email|2
21998|1678|12|3|23|In-Person|5
97570|1550|9|3|39|Email|2
70563|121|50|1|19|Chat|4
28778|774|82|3|37|In-Person|2
82181|122|42|5|6|In-Person|4
88673|1409|44|4|1|In-Person|5
90965|1098|46|1|28|Call|3
87677|1411|42|1|23|Chat|2
26679|1290|86|5|38|In-Person|1
5875|881|27|4|12|Call|4
5948|1665|16|1|40|Email|2
89458|238|72|1|26|Chat|5
74679|617|54|3|14|Call|2
84277|798|13|3|10|Email|4
33021|1023|23|2|16|Email|4
71754|1115|84|5|46|In-Person|1
43646|1769|67|5|7|Call|3
5397|975|89|5|30|Chat|1
29994|725|96|3|32|Email|2
75151|1443|22|5|34|Call|1
54568|435|94|4|8|In-Person|2
26491|970|67|4|30|Chat|3
3791|1003|32|2|9|In-Person|3
27053|1170|4|1|35|Chat|4
59389|656|88|3|36|Chat|1
95413|771|37|3|13|Email|5
12815|1239|30|2|43|Email|4
7242|761|2|3|10|Chat|1
93334|132|45|1|44|Call|3
89103|1060|51|3|36|Email|5
466|251|61|3|34|Call|5
6407|1524|33|2|7|Chat|3
50204|1641|43|5|47|Email|1
31832|1322|62|5|44|Call|3
46318|1476|88|2|14|Call|2
78757|539|37|4|27|Email|3
5887|1183|41|5|43|In-Person|3
99916|744|53|5|23|In-Person|4
38950|33|79|1|38|Call|2
88407|816|21|4|4|Email|5
65705|1476|10|3|30|Call|1
27318|1797|50|3|4|Call|2
51658|751|42|3|48|In-Person|3
15384|216|62|1|19|Chat|2
72550|834|38|5|37|Call|3
13690|826|46|1|32|In-Person|1
87104|1296|88|1|27|In-Person|1
19287|1438|57|3|32|Chat|3
81187|38|59|5|28|In-Person|5
35064|354|57|1|11|In-Person|1
89553|964|85|5|18|Chat|4
91095|1383|66|5|27|In-Person|4
17704|1124|43|5|32|In-Person|2
17399|567|93|3|32|Call|2
53415|1817|31|1|6|Chat|5
21954|1525|57|3|43|Chat|1
57294|1742|53|3|6|In-Person|5
31241|132|72|1|22|Chat|4
99456|626|72|2|35|In-Person|1
53666|511|67|1|31|Email|5
20694|250|53|1|31|Call|4
8080|337|76|1|16|Call|1
44031|603|73|2|25|Email|2
43910|556|21|3|10|Chat|2
53995|269|32|3|49|Email|4
86198|1589|39|4|26|Call|1
1073|1676|96|5|26|Email|3
6391|1660|70|2|14|Call|3
14916|1192|88|3|8|Chat|4
884|1511|11|2|47|Call|1
48104|1267|29|1|18|Chat|1
87100|1259|31|5|27|Email|4
91901|1483|77|1|42|In-Person|3
21771|1538|21|1|30|Chat|2
13364|203|76|5|39|Email|2
29325|1237|9|4|17|In-Person|4
86464|334|59|4|50|Chat|1
96549|1450|73|2|21|In-Person|4
32926|104|20|1|22|In-Person|4
54122|28|72|3|24|Chat|2
52824|126|59|5|14|In-Person|2
75526|1149|64|1|12|Call|4
87914|525|62|1|22|Email|3
15967|122|9|5|20|Email|1
20923|1283|90|5|5|In-Person|5
99008|876|87|1|50|Email|3
56020|757|98|1|3|In-Person|3
78927|545|3|2|10|In-Person|5
31849|1180|52|2|10|Email|1
48827|424|76|2|19|In-Person|2
86891|1517|26|2|48|In-Person|4
14710|1240|38|4|7|In-Person|2
35770|1683|34|1|7|In-Person|1
93041|163|46|4|42|Chat|3
66386|209|5|5|45|Call|4
23045|506|88|3|46|In-Person|4
42775|1504|6|2|18|Call|4
43192|357|49|3|5|Email|4
44562|1254|92|2|37|Chat|4
78077|214|26|2|44|In-Person|3
92656|1459|64|5|23|Chat|1
22218|739|10|2|23|In-Person|5
69724|215|23|3|3|Call|1
6013|1376|89|1|45|Email|4
58916|1287|26|3|10|Call|4
45086|415|52|5|27|In-Person|4
98550|1485|87|2|20|Call|5
30697|2|71|2|49|Chat|1
66728|293|62|5|44|Chat|4
20511|1337|84|5|40|Call|5
48541|1258|58|5|2|Call|1
22783|508|90|1|10|Email|4
88016|818|60|1|10|Call|4
15526|1504|75|3|18|Email|2
2535|1277|20|3|14|Call|3
2315|817|2|1|34|In-Person|3
77674|1029|35|4|14|Call|5
82210|403|43|3|2|Email|2
94081|1695|10|2|44|Call|1
36572|1815|41|5|15|Chat|3
85540|262|30|1|2|Call|4
9223|1357|46|5|31|Email|3
31957|1470|50|2|22|Email|5
48859|494|95|5|3|Email|5
87519|670|64|5|48|Email|4
73338|312|63|3|25|Chat|5
41449|1276|65|3|26|Call|3
1358|1144|28|3|25|In-Person|2
52430|444|85|1|47|Chat|4
52655|1217|61|5|49|In-Person|2
36802|140|84|2|12|Call|5
75121|765|88|4|10|Chat|5
75753|1575|19|1|14|Chat|1
74648|555|16|3|3|In-Person|2
80982|736|13|5|48|Email|3
58891|434|83|1|41|In-Person|3
77528|246|40|5|47|In-Person|4
87289|1007|79|3|43|Chat|3
78645|1576|16|1|32|In-Person|2
30309|1613|84|1|21|Call|1
9390|951|66|5|2|In-Person|1
52930|857|6|3|19|In-Person|5
31282|977|77|5|37|In-Person|1
76844|965|74|2|23|Chat|1
21776|990|78|1|24|In-Person|3
88405|701|99|4|19|Chat|4
73549|1301|83|2|20|Email|3
63327|1813|3|2|18|Chat|5
52731|745|63|2|41|Chat|3
