investment_id|date_id|investment_type_id|account_id|location_id|currency_id|investment_amount|investment_return
79019|1120|3|36|11|1|521938.74|-52.86
50995|749|2|94|41|2|761149.18|12558.79
53262|881|3|23|30|2|690913.41|-3667.27
56106|475|4|10|41|3|302360.55|1426.38
30713|1812|5|62|49|1|94643.47|7318.42
63261|43|5|2|24|3|45521.07|-2948.44
35719|651|3|52|37|1|151049.47|4164.72
14552|760|5|17|30|2|218055.35|-2885.55
38859|1275|4|65|34|2|64256.5|3718.25
3473|1570|1|99|45|1|730342.28|-3418.2
44733|529|4|3|6|1|742803.68|755.44
63848|58|5|66|20|1|132787.76|9946.53
34787|614|3|66|22|1|500458.65|14370.94
23113|600|4|49|31|2|59595.02|-128.81
98410|382|5|2|20|1|86807.43|3899.57
98505|936|3|62|3|1|704734.15|1938.52
5952|1771|5|77|24|1|830306.2|-3358.04
77923|330|1|34|26|1|834916.2|2056.66
47410|629|2|81|45|2|396842.51|2543.04
58256|1491|3|67|9|3|628540.51|12820.67
77471|1062|3|95|25|1|993269.09|13972.16
41542|766|2|86|29|2|418539.81|7238.13
98729|1602|3|81|22|1|961754.56|-4200.89
49839|1434|1|53|46|1|489152.94|9227.01
39960|435|2|19|21|2|651592.17|2584.59
85880|379|4|7|14|3|734968.65|-737.7
44259|414|5|22|28|2|781010.88|3580.14
13966|711|2|77|44|2|124358.17|-4540.89
53481|1082|1|43|21|1|916615.65|13858.56
61631|1796|5|87|21|1|747874.73|6029.36
47989|700|5|66|11|1|57681.95|-3287.93
54190|722|2|9|2|3|355775.32|8866.31
14052|285|2|46|24|3|644510.82|1774.93
59670|1417|5|28|20|2|921234.09|-4900.45
85658|235|3|26|11|2|465578.52|14191.01
7004|245|1|96|19|3|442630.51|5922.76
25158|333|1|29|10|2|891095.7|14675.64
58339|1483|3|47|32|3|40915.82|7894.64
8712|700|5|65|12|3|274383.86|9399.32
65518|647|3|61|9|2|801516.05|9567.51
36960|377|2|41|17|2|84357.53|-4787.53
55509|904|2|49|42|3|83102.39|-3743.78
98432|41|4|32|2|1|483125.72|2050.69
79111|437|3|79|45|1|688835.78|11317.35
1276|1455|3|34|19|3|731862.94|-780.46
28800|1604|1|69|35|1|966158.9|13841.0
18889|210|4|45|12|3|833827.18|-20.13
3656|99|2|68|12|2|277869.74|13882.29
45229|280|1|61|15|1|194729.83|5986.2
69832|596|4|95|39|3|568998.08|6498.43
65116|1292|1|76|42|1|459149.62|5834.75
78937|1754|4|65|21|2|195005.32|1412.18
58449|535|3|74|6|3|634248.78|5959.56
67375|1653|2|28|37|3|486831.8|5706.83
18978|1767|1|1|1|2|685064.14|-2149.99
46465|1062|4|74|15|1|192981.13|11134.32
17293|719|4|99|20|2|881009.81|11424.21
36058|238|5|85|49|3|112329.49|-1312.83
11406|1700|1|39|34|3|505458.29|152.27
44374|1398|4|44|4|3|499075.59|543.31
11348|986|1|33|43|2|776830.74|-429.12
78833|1801|4|81|11|2|907444.49|12997.67
71495|1421|1|90|36|2|582043.5|11461.02
99453|1377|3|22|42|3|674924.49|6612.14
27477|492|3|27|37|3|58512.89|10582.91
54961|1477|3|19|31|1|57232.04|6212.87
93166|1720|3|2|10|3|26008.63|5934.25
50619|881|4|24|37|1|467491.94|-4833.78
64755|1778|2|98|25|3|118745.7|10636.29
90099|1126|5|80|13|2|754143.94|7612.15
26186|1493|4|14|14|1|997137.09|-3096.58
3205|1050|4|57|14|1|813314.64|-2409.85
1592|536|1|76|32|2|723314.81|4217.6
55779|369|1|58|16|1|361241.78|-1466.56
82149|544|1|49|12|1|722272.18|11055.68
10687|765|2|88|37|1|199351.88|-2822.43
91727|223|5|52|8|3|703790.53|7207.57
30711|202|1|97|41|3|781562.59|-4464.4
93440|1351|1|57|28|1|868481.55|-3939.91
84292|781|3|31|16|3|100048.42|10406.13
94007|929|1|19|7|3|16338.34|9373.12
29297|302|3|18|12|2|698614.36|13326.82
79423|439|2|70|48|1|328641.89|649.75
15406|902|4|28|17|3|112728.85|-2140.54
11240|154|2|38|50|2|450479.53|-161.3
28076|350|1|80|10|2|540139.02|2983.66
77317|1328|4|50|35|2|833537.66|8950.05
94973|721|5|45|14|3|395435.92|8159.36
33826|1779|4|84|1|1|146447.61|6296.4
30549|1753|2|70|8|2|21782.56|-1720.88
25920|997|5|4|10|1|872895.17|-905.51
68097|1535|1|12|34|3|117682.44|14202.61
76575|654|2|14|46|1|344048.44|-3881.07
8767|981|2|12|22|1|257308.59|8739.04
58531|1732|1|92|39|3|702426.2|-1423.04
62484|92|4|79|10|1|273860.43|1840.1
88854|823|3|30|45|2|382438.65|9021.53
34564|918|5|30|31|3|135531.91|-3906.93
90465|1093|2|72|46|3|728972.89|1654.75
24017|797|4|31|26|2|675107.5|-1875.08
18184|196|2|91|14|1|276146.72|10302.55
45926|1675|4|38|34|3|193198.74|231.71
52264|28|1|87|11|2|245967.53|5601.57
92304|1441|4|32|8|3|377852.19|359.36
64588|603|5|35|46|1|455656.1|7468.31
47115|1109|4|5|16|1|407765.04|10041.61
61011|1403|4|27|10|1|60276.59|11835.69
13628|76|1|35|27|2|860801.45|3991.7
13127|593|2|1|18|1|892009.15|-348.91
7856|98|1|71|32|3|792369.17|1412.39
7270|197|1|3|40|3|159829.29|-3927.01
52684|394|4|41|33|1|25415.37|7622.12
84235|1449|2|48|10|3|862569.45|-3935.82
93139|356|3|51|43|1|889472.01|1609.65
65178|1090|1|98|31|1|269407.84|9337.58
64409|1420|1|12|45|2|612672.14|13750.7
12641|1063|4|36|43|2|795500.71|4513.52
93624|1495|3|99|29|3|923862.94|372.44
3503|1643|2|84|25|1|298106.58|4157.84
11556|1493|5|100|41|1|461043.02|9967.89
76013|311|5|78|47|3|594355.39|6670.54
41230|1304|5|40|34|1|412416.44|12343.57
71319|1717|1|85|25|3|414609.32|-2131.71
62355|967|2|90|2|2|539658.74|12694.19
35689|960|2|89|8|2|669277.11|8668.91
60715|598|1|8|35|2|730751.0|10919.3
2467|1346|3|82|34|3|224028.57|5061.33
52149|1126|4|19|24|2|702390.66|9802.33
18686|1476|4|40|45|1|650821.02|11848.35
24256|502|3|42|41|3|98920.89|-4618.23
11926|1472|4|38|39|2|678331.32|-2373.22
36964|1470|4|92|20|3|747993.63|8550.55
18979|1422|5|29|19|3|643885.77|14184.8
37026|1583|2|76|38|1|764229.02|-1065.44
65200|945|4|11|26|1|176448.11|11173.58
75014|1050|3|91|35|3|985700.84|-3971.46
44286|1733|5|4|23|3|55720.27|1258.0
37156|993|5|96|28|3|350224.58|8894.52
82966|682|3|15|13|1|421828.27|10648.55
47373|229|1|99|40|1|491921.01|4301.47
55043|1540|5|24|25|1|344180.45|983.22
54166|116|2|46|8|2|709459.96|-4770.44
27903|1386|3|66|43|2|697616.57|11042.07
89370|1710|1|81|28|3|67303.94|-1395.81
47556|1590|2|70|42|2|402129.24|7626.31
6400|1200|1|60|30|2|645449.45|-4959.15
68330|197|5|100|28|3|770044.56|-2035.37
27822|1339|5|55|1|2|348575.49|-2903.99
43082|846|4|66|24|2|768567.63|-4968.18
24987|212|2|45|43|1|270958.74|6590.57
75483|1239|5|75|38|3|549504.91|355.0
5594|438|5|29|49|1|41143.77|6344.66
87431|339|2|1|40|1|151240.59|6226.27
76787|468|5|1|30|2|480337.71|-2588.72
73896|590|5|72|33|3|463154.58|4855.7
26573|418|5|80|13|3|626845.71|14912.02
9377|1149|3|15|34|1|674048.98|380.16
13745|1696|3|11|41|3|939090.04|1067.98
15856|929|3|49|50|2|974764.2|5574.0
68544|1701|3|24|3|3|946821.2|12888.84
17287|544|3|16|15|2|521612.99|4821.55
44319|1416|5|45|26|1|921050.18|1890.74
59458|837|4|65|5|2|419080.96|11246.32
61312|322|2|40|13|3|826322.4|3914.97
75544|1188|1|81|17|2|508163.24|-3389.88
83480|909|2|52|24|2|485590.16|-152.65
25912|864|2|45|38|1|355218.7|3050.21
85223|1111|2|69|23|3|714963.37|-2489.03
10741|220|2|82|35|3|747068.34|-1147.68
79967|501|1|75|15|1|751189.44|8714.77
22307|1816|4|11|40|2|438173.65|10094.76
24209|270|2|58|11|1|511362.57|14169.26
31959|803|3|75|21|1|570954.05|9075.29
25538|448|5|12|41|3|113262.86|3912.59
90042|751|2|71|30|1|759190.67|-1263.99
77408|796|1|86|4|3|708100.98|12713.18
52718|905|5|47|48|2|147958.88|7175.44
56012|750|3|3|7|1|228815.77|-4318.52
65394|1164|1|92|9|3|106266.45|5747.09
21689|547|5|13|46|1|674192.58|-1834.74
2560|302|3|8|19|1|772223.76|11383.45
62306|1671|3|17|20|3|504185.35|-4022.84
28627|1067|1|76|2|2|737854.11|924.79
413|1241|4|39|11|1|906979.12|2473.53
50281|1208|3|17|3|3|276938.27|693.56
98337|1106|4|11|44|1|260799.72|9086.78
38702|271|5|39|18|1|978326.71|-3329.15
84346|636|2|83|6|1|861848.38|2861.26
88517|622|5|20|16|1|645650.56|3152.37
26582|119|3|6|16|3|876119.51|7244.53
43538|231|3|28|13|3|256324.37|8536.23
45473|701|4|78|12|3|450469.67|7486.75
84562|136|3|11|21|1|941395.28|5815.73
13287|775|1|2|35|3|665411.17|4302.9
18305|1194|3|92|26|1|162475.2|9624.65
2965|1756|4|51|32|1|183095.12|13404.09
6193|778|4|76|36|1|862797.13|955.72
51616|1601|3|39|16|2|198591.72|13066.4
47369|189|1|24|11|2|595673.59|-3484.59
46257|850|4|20|1|1|241240.07|3105.03
93843|342|2|59|21|3|614601.13|-3928.99
66670|1282|1|32|41|3|254825.6|1118.03
1563|834|1|69|40|2|219671.81|3041.63
56384|459|5|24|3|2|512455.64|13262.01
56277|799|2|96|1|3|265476.23|-155.54
75581|1812|3|2|15|1|930620.39|-916.37
89011|1630|4|88|16|1|344672.68|7490.41
10621|1000|4|20|44|1|943280.39|9802.78
64936|1818|1|41|44|3|483399.3|12101.61
88231|1683|2|60|7|1|89215.15|-4080.7
47424|1310|5|83|30|1|943079.94|8574.05
72873|1237|1|53|32|1|812819.99|-3671.42
51230|514|1|49|18|2|351758.33|10617.24
89175|90|5|37|31|2|224335.45|1990.39
87038|862|5|44|36|3|602943.2|-1952.96
98171|613|5|89|6|2|769913.0|4425.69
49087|485|1|41|15|3|298629.04|1491.03
49224|439|5|47|1|1|822869.82|8640.71
15842|1102|1|40|18|3|410153.69|8187.0
63518|616|5|36|10|2|158951.22|13944.97
92648|910|1|79|35|2|71174.45|6501.7
38004|1028|1|80|36|1|84868.77|4743.77
66771|657|4|77|43|1|221302.52|1210.05
80697|1797|2|12|6|3|861628.86|12801.7
98240|278|2|42|48|1|546983.92|8737.57
21299|81|2|91|35|3|173020.07|-335.73
50719|953|4|88|45|1|993599.91|3966.43
19316|1346|5|24|42|2|18508.19|2490.06
10288|27|5|88|34|2|795428.16|-3863.15
8480|142|2|50|7|3|376576.84|9652.83
55980|1726|2|13|4|3|564608.63|2717.62
37762|1147|3|74|40|1|858407.45|12765.67
96407|253|1|36|6|2|87874.84|74.77
1403|659|3|80|2|3|765510.12|9167.39
3850|1475|3|63|41|3|187115.16|5084.01
35120|865|5|91|21|2|709017.23|4989.25
41479|316|1|42|20|2|553112.82|-2949.81
34132|1660|1|33|4|3|249176.66|13252.92
47588|739|1|69|29|1|641620.74|7494.13
27279|822|3|62|20|3|512003.39|10621.67
89480|1281|2|91|9|3|456704.57|-962.69
8367|234|5|63|8|2|373256.0|1382.93
71243|1558|4|25|14|1|997288.56|-3647.17
1357|255|4|14|27|3|120593.94|14773.61
60768|1698|5|2|45|2|882466.31|-4295.02
61467|1008|1|44|41|2|511883.9|874.32
99128|242|4|91|11|3|335291.95|10573.29
20658|52|3|95|30|1|235940.77|13524.68
62050|769|5|15|11|2|553380.72|840.21
72578|138|2|78|26|2|410571.0|13479.57
23208|289|1|54|17|1|184975.91|10174.61
94427|483|3|7|15|1|805767.91|7760.29
51646|296|1|90|38|2|573145.44|14143.96
54114|1238|1|60|40|3|795828.36|14079.55
80874|664|4|93|18|3|597635.67|-369.22
63435|197|3|26|3|2|976141.08|11198.81
11554|1171|4|92|45|3|824076.96|438.5
45437|1656|1|35|15|3|663948.05|4787.29
54580|1562|4|85|29|2|893228.55|8799.29
661|928|4|16|17|1|214135.2|-4417.27
85486|1154|2|95|45|2|112459.27|922.93
41612|1205|5|82|30|1|804302.83|1336.37
32634|1179|2|5|30|1|723279.17|1587.5
11106|138|4|25|13|2|105030.44|1333.89
64425|973|2|40|20|1|74896.14|5346.63
90940|282|1|53|1|1|509417.17|14591.02
73107|985|4|39|5|2|301799.28|-2134.34
49881|1019|4|82|29|1|681947.14|10244.52
76246|497|3|21|29|2|353089.43|-653.18
23247|1677|2|25|14|1|13208.14|-786.41
62109|263|3|57|2|1|69162.6|9423.49
28197|636|4|97|50|3|633244.42|2561.38
81491|195|1|74|36|2|994537.39|4442.42
83571|957|5|57|36|2|672409.47|-4275.14
12849|324|1|55|17|2|533240.69|3165.05
83902|178|3|76|7|3|480007.67|1336.7
81725|287|4|54|44|1|92714.68|11596.24
85745|325|3|3|45|1|472408.66|14081.24
81678|1014|1|53|11|1|403307.67|-4865.05
1720|987|4|84|14|3|343021.64|11327.48
35663|1226|1|58|32|2|44882.99|12668.63
9439|1372|4|83|34|2|405515.61|399.14
3751|1738|1|37|30|1|546768.74|-2078.97
42714|920|1|86|44|3|809767.44|14160.37
30201|1319|4|90|17|1|759935.06|142.74
59303|1449|3|80|49|1|29643.66|1078.5
26870|694|4|42|40|1|524704.86|12073.56
54365|1519|2|89|40|3|672550.14|10219.53
14502|1315|2|65|38|2|530422.05|4820.34
35757|1171|5|98|8|2|361974.44|-2437.34
97714|829|3|79|8|1|97245.82|-718.66
40291|1645|3|5|24|3|528093.32|339.72
57932|181|1|17|15|1|179827.84|10094.12
26111|1481|1|60|43|3|215214.57|10845.16
99604|1239|3|79|13|1|410406.08|8602.57
72237|471|3|95|4|2|12053.06|-2268.11
34003|849|3|74|42|1|417838.82|3900.47
79874|1340|1|19|18|1|16859.77|-1477.85
49924|187|1|62|50|2|526739.32|1157.31
48353|1395|5|79|40|3|780831.97|14854.4
91099|1123|3|83|22|2|742719.64|13027.0
59453|1806|2|19|17|1|670819.51|1309.5
21287|113|4|79|35|2|56356.14|8025.5
34463|430|3|57|35|2|847310.18|13855.4
61456|996|2|22|11|3|684458.8|5221.57
41400|1569|4|3|12|1|898880.49|-4025.51
16602|708|2|27|34|1|561777.96|14844.47
79675|1348|5|1|48|1|348924.7|10319.17
17814|105|1|94|50|2|16658.74|-4912.88
82339|1492|1|38|10|3|925698.72|8922.69
49734|1199|4|1|3|3|278657.17|10163.97
70643|1821|2|99|15|3|470644.3|10742.81
20990|1641|4|96|22|1|692797.91|29.73
1138|1252|2|82|12|2|825714.15|14738.69
26858|875|1|37|27|2|99452.55|10906.78
46562|1496|1|75|18|1|635318.81|7120.93
60669|940|5|47|49|3|338917.9|7301.95
2038|1725|1|43|28|1|672406.85|3138.49
98619|1298|3|73|26|1|424979.29|4769.34
1013|90|5|38|26|3|123975.03|12269.91
14686|944|5|19|34|2|236875.04|7785.73
94112|1671|4|48|27|1|995739.19|3764.01
96488|855|3|31|8|1|65744.77|4855.85
20723|881|1|7|16|2|104239.02|12537.49
37043|1321|5|45|43|2|233819.23|12145.09
12007|200|1|59|5|2|940497.59|12955.41
44781|1647|5|58|16|2|128418.58|4937.45
50471|1458|4|70|26|1|349970.59|104.64
61943|481|3|88|31|3|893556.32|421.79
95932|548|3|32|19|2|231642.87|5788.88
80799|1045|5|31|26|2|246496.02|11382.47
76969|313|3|35|27|1|607725.2|5486.97
34103|1314|1|82|3|1|649797.28|12189.12
78484|469|1|87|40|1|810740.65|2801.41
88679|668|1|13|37|1|170069.67|10816.06
25757|413|1|57|34|1|993134.04|13078.94
90679|1277|1|4|24|2|267511.69|12743.5
46580|1720|3|11|11|3|746967.36|9454.92
99922|1524|3|97|39|3|776843.03|1222.55
54051|823|3|36|43|3|238444.46|1413.85
22827|1174|1|59|22|3|555461.71|3633.1
68233|1392|2|71|40|2|996004.71|13712.75
40659|596|3|100|3|2|632971.05|1460.54
13875|951|2|49|45|2|411296.01|9553.66
71833|106|2|24|36|2|713820.63|10885.58
30566|929|5|36|35|3|618559.11|3797.98
69861|692|3|95|10|3|558998.93|9834.52
8365|459|2|53|15|2|264334.17|2980.87
92385|525|3|55|14|2|790798.62|4494.76
87671|965|1|31|32|3|701147.46|2553.6
78418|724|1|12|4|2|933042.94|3660.93
94744|1013|2|63|37|3|731120.86|9477.73
40176|469|4|2|43|1|992642.18|8036.22
31547|1077|1|47|47|1|342205.78|-4668.96
2970|1515|5|46|3|3|20902.78|-887.42
98129|1827|2|11|39|2|390831.3|-223.5
85128|1745|2|7|27|2|485232.7|-2019.63
26356|439|2|66|27|2|704009.03|1966.14
25705|922|4|55|4|2|186586.23|3994.94
81606|1799|4|60|5|2|793459.4|12649.98
76173|223|2|86|1|3|64897.89|5679.19
89782|249|1|88|30|3|442704.12|-1784.29
69208|597|2|14|45|3|568324.84|9463.6
92807|1092|4|8|49|2|27204.93|5275.27
80494|1488|5|23|42|3|483413.32|-2931.46
31054|836|3|56|20|2|335253.03|8730.25
45846|1408|2|63|47|1|496737.25|-3003.74
29008|1261|4|79|38|3|808607.17|10035.39
15026|93|1|93|10|1|184530.82|-3065.09
6196|895|4|10|44|1|831708.4|4051.93
37685|13|5|39|27|1|539167.95|11522.07
44797|1456|1|23|48|2|285262.39|10208.26
65590|949|2|15|20|1|453199.07|1085.23
63984|1250|2|88|37|2|631829.9|-1677.15
79037|226|5|13|30|3|784512.04|484.19
59255|1502|1|19|13|2|716707.4|3997.19
42480|692|5|83|34|3|195501.24|-578.34
24935|1632|1|20|21|2|371284.99|12158.99
1255|1218|2|40|6|3|517742.63|8137.21
84476|172|1|59|49|1|382046.66|4380.93
45429|1685|4|7|49|3|908566.44|-4893.61
61861|420|2|36|2|2|646607.73|1308.3
61721|886|4|9|14|3|582609.25|1207.54
62551|543|5|38|40|3|803202.06|-682.82
36069|1532|3|67|6|1|799475.04|952.23
15773|276|4|32|38|3|417566.79|-1746.89
64850|1189|5|21|47|2|130969.25|5451.69
16526|691|1|85|12|1|729348.25|6712.38
95617|1095|1|54|27|1|856971.06|6391.9
43331|1203|3|16|36|2|319120.34|7991.46
46376|1081|4|1|32|2|759563.84|5991.94
34234|19|4|100|17|1|937314.74|2424.95
7520|1056|3|38|45|3|674120.58|9384.24
81836|346|2|26|21|2|879626.83|-2724.13
80359|400|5|61|36|3|381488.98|8304.24
93976|308|2|53|8|1|257295.8|9246.49
51651|1421|2|32|32|3|32350.24|6201.01
64586|441|4|75|16|1|56048.49|11839.58
51393|775|4|39|18|2|307032.71|-3647.99
43494|536|3|61|39|3|281478.79|12413.48
20714|1056|5|88|34|1|953792.97|-3727.55
38813|686|1|5|1|3|475452.25|8528.63
69364|1667|4|77|11|2|503861.4|14809.76
24547|842|1|27|48|2|311859.21|-439.76
32832|1349|4|91|45|2|560114.67|12353.87
54803|121|2|59|25|2|466621.67|12819.13
51643|521|4|90|8|2|879811.25|-2600.91
86179|1449|5|44|3|2|498715.0|2632.06
53260|358|3|12|19|2|903107.21|-4717.84
36392|1377|2|77|49|3|108176.79|1961.65
90748|1054|1|51|48|1|319679.65|3666.87
36761|1088|4|76|5|2|248942.09|-3697.33
86012|4|4|96|30|2|782927.51|-2179.03
93388|1414|2|31|14|3|296798.45|1853.48
23281|666|1|68|11|1|258565.12|9199.34
92122|82|2|68|21|3|904781.55|-3944.49
20637|926|4|86|25|2|721054.36|8814.23
4335|279|5|18|15|1|923233.6|14936.18
97520|1686|4|91|35|3|920068.05|7270.68
68342|1531|2|42|13|1|645285.13|-631.16
56045|1482|1|8|34|1|597811.19|11287.17
31355|143|5|7|35|3|115927.95|-65.01
46837|1222|1|87|36|1|755955.23|6740.91
38636|1484|5|24|9|1|707245.27|2651.73
4853|1038|1|1|31|2|96902.58|14637.9
3843|1318|5|67|44|1|326405.38|13981.04
1435|779|2|80|18|3|763612.34|3595.84
